GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALKVE001,ALKVE002,ALKVE003,ALKVE004,ALKVE005,ALKVE006,ALKVE007,ALKVE008,ALKVE009,ALKVE010,ALKVE011,ALKVE012,ALKVE013,ALKVE014,ALKVE015,ALKVE016,ALKVE017,ALKVE018,ALKVE019,ALKVE020,ALKVE021,ALKVE022,ALKVE023,ALKVE024,ALKVE025,ALKVE026,ALKVE027,NAME_M,ALKVM001,ALKVM002,ALKVM003,ALKVM004,ALKVM005,ALKVM006,ALKVM007,ALKVM008,ALKVM009,ALKVM010,ALKVM011,ALKVM012,ALKVM013,ALKVM014,ALKVM015,ALKVM016,ALKVM017,ALKVM018,ALKVM019,ALKVM020,ALKVM021,ALKVM022,ALKVM023,ALKVM024,ALKVM025,ALKVM026,ALKVM027
"G0100830","2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",51959,49678,145,1026,168,915,339,816,736,1743,3723,2751,3992,3007,4227,3146,2761,7125,3432,5223,2494,1101,726,0,0,82,2281,"Madison County, Alabama",3038,3041,183,754,192,449,244,418,621,831,1149,920,1177,1138,1314,1282,985,1812,1005,1487,962,814,566,206,206,129,903
"G0100950","2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",10446,9335,350,395,304,426,186,775,605,1883,1086,243,652,602,865,78,376,193,47,246,23,0,0,0,0,0,1111,"Marshall County, Alabama",1286,1270,268,299,197,271,133,486,365,777,400,166,331,359,541,68,295,167,37,213,39,206,206,206,206,206,622
"G0100970","2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",57049,49587,825,1122,1752,1359,1117,2363,1257,2217,1700,2414,3635,6482,3968,3738,3718,4352,3682,2891,437,558,0,0,0,0,7462,"Mobile County, Alabama",3690,3612,461,514,893,740,665,892,578,990,589,818,1318,1616,1071,1088,1106,971,1340,832,332,493,206,206,206,206,1579
"G0101010","2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",36825,34306,328,566,201,778,542,567,489,1033,1331,2021,4015,2668,4065,3119,1943,3257,1750,3994,710,791,56,0,82,0,2519,"Montgomery County, Alabama",2826,2784,257,456,292,436,357,532,362,594,635,823,1197,1158,1356,1312,852,1066,675,1245,395,306,91,206,95,206,960
"G0101030","2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101150","2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",15491,13964,119,311,112,0,52,40,204,431,470,676,260,730,276,453,638,1984,2003,3089,1154,681,39,92,0,150,1527,"Shelby County, Alabama",1599,1438,203,519,125,206,63,72,277,347,352,403,336,480,262,269,409,699,859,1079,589,448,69,147,206,176,722
"G0101210","2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101250","2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",27261,26021,423,633,697,710,698,310,650,1094,921,585,2829,1449,2438,1364,2392,3335,1701,1593,1129,403,266,0,53,348,1240,"Tuscaloosa County, Alabama",2377,2474,365,415,458,560,645,187,422,665,420,423,1182,852,903,682,1029,996,1247,747,734,288,262,206,91,350,812
"G0101270","2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",40980,39873,439,23,336,146,273,343,423,652,440,0,627,166,456,1393,1229,4812,3090,8169,6173,6415,3237,981,50,0,1107,"Anchorage Municipality, Alaska",2911,2952,427,40,313,232,289,333,494,457,389,163,574,166,342,710,985,1270,1057,1600,1536,1445,913,514,85,163,728
"G0200900","2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",7784,7197,0,18,13,135,55,191,60,166,37,204,116,397,287,71,163,818,1161,1559,877,703,166,0,0,0,587,"Matanuska-Susitna Borough, Alaska",855,814,163,27,21,101,90,210,81,142,47,119,114,198,273,56,165,278,388,464,305,307,136,163,163,163,246
"G0400010","2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0400030","2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",16729,15762,0,193,296,523,574,377,488,810,972,1392,672,2795,989,934,334,1215,1058,1060,640,417,0,23,0,0,967,"Cochise County, Arizona",1939,2014,218,164,315,432,591,198,467,471,630,752,356,1105,494,641,300,571,561,554,359,253,218,41,218,218,486
"G0400050","2019","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",18862,17806,67,306,210,325,224,432,64,105,459,665,236,299,634,373,175,1109,1179,2903,2735,3766,1305,184,51,0,1056,"Coconino County, Arizona",2098,1968,107,221,257,306,259,564,106,170,303,598,266,301,592,236,217,569,668,978,795,1133,677,190,85,218,403
"G0400130","2019","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",592371,575348,886,2792,2696,5303,1908,3375,2190,5370,6950,10062,12182,18908,15664,23685,24245,67253,67307,134504,86140,61897,11625,4285,3158,2963,17023,"Maricopa County, Arizona",11020,10458,498,1123,943,1364,779,1011,822,1387,1529,1860,2429,2618,2110,2895,2847,5591,4844,6666,5214,3798,1902,1292,806,1140,2266
"G0400150","2019","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",25307,21993,100,239,181,82,291,95,536,545,982,1895,609,2199,2396,1506,1993,3750,823,2670,340,650,0,0,0,111,3314,"Mohave County, Arizona",2857,2565,117,239,191,88,386,105,374,350,537,941,502,1032,935,725,837,1229,402,1174,207,330,218,218,218,132,1281
"G0400170","2019","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",10526,8923,749,368,148,519,239,590,540,657,441,576,292,1020,515,485,458,538,501,193,0,94,0,0,0,0,1603,"Navajo County, Arizona",1258,1309,363,271,151,357,187,453,370,360,275,490,243,498,428,407,344,334,464,259,218,119,218,218,218,218,630
"G0400190","2019","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",151943,143241,2069,1016,1108,1692,1479,1129,1828,3488,4711,6491,8588,11763,12725,9841,8388,15440,14499,20776,8783,4619,904,710,787,407,8702,"Pima County, Arizona",5269,5164,905,620,785,718,630,489,709,882,1224,1478,1868,2119,2258,1800,1698,2349,2238,2772,1635,1095,693,397,293,355,1364
"G0400210","2019","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",33368,29067,212,180,735,310,351,132,441,325,496,1170,430,2501,1609,1491,1440,3867,2927,6101,2834,1351,86,0,0,78,4301,"Pinal County, Arizona",3745,3512,338,191,437,259,469,105,409,311,312,570,318,1014,899,670,767,1298,1041,1828,1141,678,148,218,218,127,1242
"G0400250","2019","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",30112,27162,27,208,92,562,373,1132,1038,387,394,1700,885,1912,1083,1207,915,2624,2004,4866,2775,1493,894,0,391,200,2950,"Yavapai County, Arizona",2745,2562,49,295,159,536,314,659,774,274,398,871,594,853,604,707,658,765,984,1318,1189,698,505,218,401,236,1142
"G0400270","2019","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",24943,22539,235,172,652,952,669,337,874,742,1293,1116,1397,2118,2374,1430,779,2728,1512,1977,880,302,0,0,0,0,2404,"Yuma County, Arizona",2524,2409,290,259,463,497,507,325,594,648,773,660,664,1032,1012,1057,606,1041,694,763,420,254,218,218,218,218,1010
"G0500070","2019","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",32373,30523,191,169,252,555,150,640,566,1773,2526,2153,1890,1569,1651,2024,2098,4474,2784,2949,940,625,247,0,248,49,1850,"Benton County, Arkansas",2416,2436,186,184,258,478,166,615,361,835,870,850,773,651,733,952,788,1279,905,867,376,385,218,206,412,76,670
"G0500310","2019","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",17129,16377,0,165,285,240,546,395,280,884,965,1935,1643,1234,2190,477,1420,941,960,807,147,764,99,0,0,0,752,"Craighead County, Arkansas",1716,1706,206,147,182,184,542,234,233,504,682,1111,621,587,1110,323,926,555,473,661,191,608,150,206,206,206,463
"G0500450","2019","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",19054,18082,45,29,212,0,71,944,717,190,1178,2231,1143,2246,2419,1214,1058,1767,705,1195,234,484,0,0,0,0,972,"Faulkner County, Arkansas",1747,1731,87,50,301,206,124,638,600,172,929,935,580,862,1122,619,461,728,424,709,228,500,206,206,206,206,625
"G0500510","2019","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0500690","2019","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",9833,8736,59,272,78,912,319,278,506,356,637,576,774,1295,836,899,578,0,53,14,0,294,0,0,0,0,1097,"Jefferson County, Arkansas",1502,1405,105,265,140,629,284,278,344,382,408,350,433,902,585,792,529,206,86,24,206,347,206,206,206,206,514
"G0500850","2019","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",7480,6864,0,901,168,46,323,57,245,463,439,137,641,938,320,274,379,172,510,299,520,0,0,0,32,0,616,"Lonoke County, Arkansas",1210,1141,206,595,168,81,387,67,224,454,328,168,507,564,295,341,290,169,423,284,393,206,206,206,61,206,460
"G0501190","2019","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",62855,60647,645,984,1280,822,1087,998,1398,1378,2291,5079,5873,6378,5653,4599,3183,7945,2165,5758,1417,999,230,64,317,104,2208,"Pulaski County, Arkansas",3442,3436,551,949,659,516,622,489,800,498,880,1493,1814,1901,1605,1530,941,2312,832,1762,765,507,301,108,496,124,785
"G0501250","2019","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0501310","2019","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",22129,20944,0,513,106,580,263,934,604,1859,3439,2533,1459,2148,1899,990,645,1284,211,863,150,209,0,255,0,0,1185,"Sebastian County, Arkansas",2143,2123,206,557,133,494,409,634,419,753,1137,1092,739,799,786,774,482,727,285,527,185,297,206,384,206,206,710
"G0501430","2019","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",41989,40183,128,0,213,400,357,666,525,2540,2357,3294,3062,4762,2444,3913,2078,3402,3347,3063,855,2074,358,0,163,182,1806,"Washington County, Arkansas",2844,2793,159,206,354,393,220,548,495,934,1101,1062,1107,1394,1024,1533,981,1266,1068,969,445,933,389,206,140,155,826
"G0501450","2019","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",10086,9325,322,695,307,222,130,604,700,451,1869,953,302,752,677,51,451,47,260,35,167,121,83,0,126,0,761,"White County, Arkansas",1454,1500,291,577,270,227,105,492,463,370,996,504,237,396,660,83,445,85,248,64,188,208,82,206,207,206,410
"G0600010","2019","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",275106,269633,2073,875,1851,3840,3909,1943,1241,1933,655,1634,1147,2364,2220,2832,2489,8098,7034,21768,20668,60950,53966,40074,16064,10005,5473,"Alameda County, California",6069,5900,841,586,697,1019,1045,750,559,674,345,737,693,779,876,802,844,1616,1470,2695,2382,3743,4072,3523,1954,1615,1089
"G0600070","2019","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",31738,29950,0,59,593,682,347,305,303,422,114,527,545,1430,2334,1983,821,3643,2500,5666,2946,2255,1669,463,167,176,1788,"Butte County, California",2606,2364,216,88,445,465,273,290,310,324,140,392,311,856,1055,842,403,950,711,1201,1005,789,894,366,215,277,696
"G0600130","2019","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",138261,133908,345,703,86,1521,1601,642,768,581,217,874,1064,1938,665,586,409,4151,2356,14127,11387,38418,27857,12085,7296,4231,4353,"Contra Costa County, California",4555,4514,367,637,145,925,861,462,518,356,294,578,758,1050,742,379,305,1275,1068,1922,1829,3519,2964,2485,1308,1385,1043
"G0600170","2019","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Dorado County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600190","2019","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",146538,140582,1514,1890,909,1410,3078,2017,1361,4329,2702,5807,3628,6289,8177,7607,8374,18911,15528,23317,11167,8050,1882,1408,706,521,5956,"Fresno County, California",4888,4732,839,837,611,681,1135,839,547,1219,941,1358,1127,1383,1829,1510,1767,2142,2433,2699,1741,1891,835,676,263,410,1221
"G0600230","2019","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",25069,23880,241,307,383,316,260,323,196,375,249,913,737,331,640,780,2329,3742,2036,4587,1230,2299,1421,0,57,128,1189,"Humboldt County, California",2137,2175,347,350,299,258,201,241,315,367,189,603,415,285,421,394,1065,939,754,1247,518,946,998,216,101,217,688
"G0600250","2019","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",21460,20578,524,487,254,1216,318,340,993,722,697,1197,1421,1211,1690,1287,489,2246,885,3158,750,559,134,0,0,0,882,"Imperial County, California",2271,2257,578,432,362,565,291,330,552,533,428,722,848,683,1002,622,356,817,642,1295,514,462,161,216,216,216,389
"G0600290","2019","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",112496,109477,352,330,870,776,1570,979,2343,3248,3530,4415,3781,7126,8309,8257,8538,10813,11727,15627,9535,5694,838,121,625,73,3019,"Kern County, California",5223,5158,344,334,629,431,965,557,1020,1018,1567,1319,1265,1619,1695,1818,1802,2058,2358,2202,1990,1834,499,155,834,62,767
"G0600310","2019","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",20900,19908,342,21,289,528,166,466,70,585,565,1186,1098,1053,1572,1678,1281,1321,2689,1992,1567,1280,98,61,0,0,992,"Kings County, California",2016,1942,272,37,429,444,261,537,128,389,422,552,692,577,774,863,636,800,954,840,765,710,133,104,216,216,391
"G0600330","2019","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600370","2019","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",1816770,1770883,8058,2535,3295,23717,23695,9436,7434,9383,8656,16319,10086,17130,12197,22857,22184,73379,89142,293568,262909,448823,209452,106778,57120,32730,45887,"Los Angeles County, California",14543,14821,1521,725,837,3026,2369,1685,1366,1489,1412,2043,1566,1934,1763,2501,2748,4805,4696,8212,9718,10893,8112,5982,3599,3301,4168
"G0600390","2019","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madera County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600410","2019","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",39973,38433,93,0,380,559,416,1175,90,0,0,517,70,304,83,377,58,482,214,1698,1901,10601,9029,5768,2980,1638,1540,"Marin County, California",2804,2835,157,216,236,333,337,789,156,216,216,702,107,393,101,270,100,533,178,727,608,1817,1583,1292,907,843,774
"G0600450","2019","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",13720,12315,15,253,0,366,201,36,253,31,398,351,7,104,440,195,774,1237,1571,2703,1519,1449,237,175,0,0,1405,"Mendocino County, California",1986,1900,20,178,216,285,224,65,320,42,462,258,13,103,433,193,586,759,813,889,900,751,185,231,216,216,694
"G0600470","2019","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",38578,36179,0,0,0,696,197,556,114,1132,1394,1163,1660,3490,874,1592,1714,3778,3060,6687,3680,3642,698,52,0,0,2399,"Merced County, California",2906,3067,216,216,216,392,204,423,128,629,996,573,741,1195,500,657,732,1047,969,1688,1135,1407,509,93,216,216,841
"G0600530","2019","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",60485,59413,101,0,64,700,121,127,75,218,269,836,425,1466,411,270,556,2210,1926,8181,10937,17444,6349,3357,1314,2056,1072,"Monterey County, California",3009,2987,124,216,107,468,125,148,80,181,326,523,321,709,338,288,365,729,804,1464,1883,2115,1507,933,821,648,573
"G0600550","2019","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",16287,15646,0,0,160,211,52,268,42,45,0,103,0,53,106,264,283,104,879,1992,2041,3040,3374,1423,903,303,641,"Napa County, California",1319,1241,216,216,173,193,87,251,70,73,216,130,216,110,133,230,217,95,487,658,759,763,841,501,407,236,413
"G0600570","2019","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0600590","2019","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",447867,438403,1394,901,606,3781,2960,1005,1934,3115,1007,1579,1571,2335,865,2055,1206,4144,6499,32617,52933,141977,87993,45503,26071,14352,9464,"Orange County, California",8057,8087,837,613,385,1080,1177,562,890,996,521,705,784,980,615,869,1215,1357,1392,3650,4090,6610,4754,3942,3565,2502,1714
"G0600610","2019","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",40724,39093,26,0,84,368,304,0,371,536,228,508,117,406,338,216,620,1480,1888,7274,4630,11454,5944,1483,485,333,1631,"Placer County, California",2462,2518,46,216,136,305,309,216,404,482,277,338,149,323,218,260,518,572,678,1570,1092,1739,1384,499,212,319,733
"G0600650","2019","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",241715,233416,784,134,1155,2908,1015,2008,886,1617,2171,3971,2065,4164,3311,4408,6071,14379,14459,39457,37725,59106,20116,7834,2590,1082,8299,"Riverside County, California",7074,6817,691,190,738,1064,380,895,504,658,932,1006,861,1325,1087,1339,1584,2143,2205,3273,3252,4446,2699,2208,1102,546,1444
"G0600670","2019","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",240650,233725,582,738,2388,1721,1113,1417,1480,1831,2124,2226,1296,2123,4033,5034,5101,14458,20726,54123,50012,47748,8893,2514,779,1265,6925,"Sacramento County, California",6321,6432,408,488,1036,691,530,811,732,861,872,932,448,907,1176,1182,1408,2073,2875,3729,3776,4180,1331,670,628,833,1396
"G0600710","2019","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",256679,248021,511,1047,1143,4459,1479,1776,1074,3803,1828,4552,2690,6553,3428,5123,10446,20173,17534,47952,38459,49115,18579,4493,851,953,8658,"San Bernardino County, California",6890,6998,391,672,591,1485,802,680,505,1378,1021,1389,780,1527,1187,1363,2133,2990,2745,4258,3651,4425,2301,1578,465,572,1800
