GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G04012000","2012","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",86891,3718,1930,2880,3819,2575,4617,3409,3067,3868,7079,9698,13171,10420,5781,6517,4342,"Chandler city, Arizona",2951,1054,807,868,993,744,986,934,779,907,1110,1502,1770,1556,1166,1138,801
"G04023620","2012","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",22879,2283,1488,721,1637,859,1297,1284,1104,987,1725,2353,2488,1567,1586,686,814,"Flagstaff city, Arizona",1550,761,544,452,561,420,490,585,565,467,685,755,689,659,653,277,479
"G04027400","2012","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",72621,2464,1318,924,2109,1834,2696,2542,3156,2401,5788,8202,13193,10625,6823,3642,4904,"Gilbert town, Arizona",2262,1308,458,422,676,710,806,810,713,890,1244,1244,1559,1497,1406,875,1201
"G04027820","2012","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",80385,6093,6057,5036,4682,3922,5255,3710,4803,3726,7392,8930,7668,5427,3036,3005,1643,"Glendale city, Arizona",2595,1131,1182,962,1000,871,1144,848,1249,861,1481,1212,1264,951,901,793,626
"G04028380","2012","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",23400,955,278,379,639,702,1516,1314,1088,610,2025,2717,4925,2910,1561,989,792,"Goodyear city, Arizona",1677,550,229,421,478,549,928,629,662,331,658,865,1179,1131,624,600,328
"G04046000","2012","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",167435,10945,10619,9855,10657,9612,10720,8942,8768,7625,15643,17565,18695,12589,5443,5718,4039,"Mesa city, Arizona",3848,1629,1496,1447,1383,1552,1942,1408,1605,1205,1730,2206,1982,1721,910,1026,815
"G04054050","2012","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",56870,2098,2742,2168,3347,2065,2654,3102,2926,2050,4558,5999,7819,6809,3779,2828,1926,"Peoria city, Arizona",2143,553,824,765,1007,821,632,898,1174,805,1138,1194,1155,965,944,733,643
"G04055000","2012","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",521555,47734,30930,29730,36236,30935,29493,28833,30560,22394,41958,47719,53979,36044,19269,20288,15453,"Phoenix city, Arizona",6541,3497,3003,2531,2897,2330,2466,2839,3261,1911,2775,3494,3595,2839,2078,2281,1614
"G04064210","2012","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",24066,1397,367,586,1182,1035,885,1108,1097,1923,3017,3195,4388,2433,908,463,82,"San Tan Valley CDP, Arizona",2188,768,361,665,537,530,568,679,563,861,955,1123,1256,907,569,653,96
"G04065000","2012","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",100862,5290,3525,3175,4461,3248,4368,4149,4885,3555,5949,9167,13439,9549,7907,7158,11037,"Scottsdale city, Arizona",2901,1192,957,801,1191,863,1147,1157,1202,935,1169,1672,1904,1834,1389,1252,1448
"G04071510","2012","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",41846,1883,859,1015,2077,1806,2468,1469,2037,2867,4621,5275,6410,4757,2270,1596,436,"Surprise city, Arizona",2327,614,429,474,627,703,924,537,694,1265,1296,1022,1130,1040,1092,1156,259
"G04073000","2012","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",64406,6676,3750,3250,4181,3763,3654,2859,4062,3567,4624,6937,6067,3705,2672,2386,2253,"Tempe city, Arizona",3052,1295,973,881,1144,1064,1070,720,1188,1096,1136,1327,1365,1006,717,698,749
"G04077000","2012","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",203252,25915,18800,13647,15116,14770,12373,12370,9028,8829,17086,16984,17006,9849,5255,3386,2838,"Tucson city, Arizona",4322,2266,1844,2075,1988,2319,1601,1807,1466,1532,1609,1628,1639,1477,1058,798,665
"G04085540","2012","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",33532,3259,1806,2128,2875,1905,1977,2200,1620,2173,2282,4860,3367,1359,674,650,397,"Yuma city, Arizona",1685,874,619,533,764,757,882,788,702,754,713,1201,772,502,299,337,236
"G05023290","2012","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",33667,4944,2520,2732,2791,1213,2158,1383,1679,1298,2718,2517,2152,2268,815,1264,1215,"Fayetteville city, Arkansas",2125,1347,822,899,933,502,958,846,958,623,1041,1007,796,675,448,559,476
"G05024550","2012","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",34964,3373,3333,2937,2243,3138,1934,2241,1881,1544,2346,3228,2749,1728,883,852,554,"Fort Smith city, Arkansas",1377,809,985,977,702,953,615,710,682,654,711,1030,814,675,433,336,428
"G05035710","2012","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",27626,2665,1841,1564,1994,1747,1021,1366,1976,1207,2348,2468,2902,1821,1174,338,1194,"Jonesboro city, Arkansas",1093,801,575,641,736,704,476,554,735,604,782,847,817,700,391,287,743
"G05041000","2012","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",78823,8037,5353,5256,4479,3335,4997,2828,4269,4355,6034,7527,8035,4684,3007,3123,3504,"Little Rock city, Arkansas",2891,1506,1191,1468,1142,801,1245,826,1186,1197,1341,1339,1324,864,839,732,784
"G05066080","2012","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",24308,2180,1668,1482,1362,1757,1573,2424,1632,851,1838,2264,1935,1167,827,983,365,"Springdale city, Arkansas",1461,786,614,698,673,746,775,884,603,570,617,888,664,547,497,482,274
"G06000562","2012","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30582,1358,948,1121,1384,1104,1055,788,957,826,3002,2764,4035,3324,2048,2384,3484,"Alameda city, California",1547,662,439,515,588,522,497,449,553,406,910,924,989,848,686,642,948
"G06000884","2012","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",29217,1516,1843,1520,1698,1341,1635,1066,1371,1048,1995,2439,3896,2862,2094,1489,1404,"Alhambra city, California",1574,472,528,503,685,498,482,425,479,446,573,685,758,795,593,458,587
"G06002000","2012","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",98156,6039,5092,4845,5508,5209,3459,5407,4773,4734,7340,9745,12314,8583,5127,5688,4293,"Anaheim city, California",3276,1186,880,1128,1160,1143,1020,1142,1309,1162,1259,1514,1667,1204,1174,1133,1017
"G06002252","2012","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",33563,2011,2007,1610,1649,1690,986,1473,1270,1396,2694,3729,4557,3662,1134,1797,1898,"Antioch city, California",1593,753,785,677,662,736,462,717,486,764,970,1026,1228,946,455,716,689
"G06002364","2012","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",22603,2173,1616,1752,2258,1069,469,1860,1415,1067,1635,1459,1745,1763,1193,667,462,"Apple Valley town, California",1452,813,681,810,948,584,261,721,581,554,598,615,684,658,551,365,292
"G06002553","2012","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",39940,4623,3834,1904,2238,2770,2291,1691,1298,1537,2067,3463,5049,2726,1273,1225,1951,"Arden-Arcade CDP, California",2428,1102,956,680,695,958,837,639,504,534,749,745,1065,735,457,407,674
"G06003526","2012","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",111053,6210,6638,6808,6857,5758,4622,5258,5345,3457,10045,13037,14098,8677,4994,5610,3639,"Bakersfield city, California",2739,1252,1351,1470,1573,1219,911,1240,1168,951,1462,1726,1942,1246,1047,1158,912
"G06003666","2012","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",17397,990,718,812,854,1438,972,911,866,833,2206,1925,2386,1194,412,606,274,"Baldwin Park city, California",943,430,341,366,410,551,410,420,373,362,690,469,609,398,258,359,257
"G06004982","2012","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",23680,2364,1261,884,1411,1101,1485,1360,1465,1045,2165,2426,2502,2138,620,914,539,"Bellflower city, California",1290,609,522,405,501,463,535,552,543,473,678,741,659,630,395,388,200
"G06006000","2012","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",45674,5973,3501,2089,1737,868,959,1225,1370,1013,2706,3293,4924,3734,2877,4385,5020,"Berkeley city, California",1831,1213,810,772,520,298,437,460,574,402,787,773,972,699,780,763,839
"G06008786","2012","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23548,617,598,1435,1238,1162,750,1396,921,785,1811,2910,4255,1700,1771,1254,945,"Buena Park city, California",1271,304,393,654,680,588,400,617,392,413,556,873,876,616,601,514,439
"G06008954","2012","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",40484,2606,2274,1749,1226,1389,1553,1780,1811,930,3456,3586,5683,4602,2900,2949,1990,"Burbank city, California",1434,699,811,656,593,644,529,565,704,481,862,992,1012,1155,847,731,528
"G06010046","2012","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",24226,501,1058,505,932,320,1249,439,732,681,1475,2355,4232,3380,1814,1941,2612,"Camarillo city, California",1518,247,443,303,539,212,486,285,343,423,655,623,882,880,646,539,722
"G06011194","2012","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",43309,4675,1139,1424,1161,1486,849,937,1340,1508,2512,3786,4902,4827,3047,4013,5703,"Carlsbad city, California",2130,1564,528,694,524,728,489,477,636,746,826,1013,1428,1099,848,968,1139
"G06011530","2012","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",24646,588,765,1333,835,669,1051,810,946,1034,1893,3599,4401,3380,943,1572,827,"Carson city, California",1295,306,364,525,340,383,461,337,440,566,583,686,921,826,414,597,434
"G06013014","2012","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",33405,3747,1515,1931,2781,2307,2634,2090,1553,1534,2023,2660,3664,2663,875,939,489,"Chico city, California",1758,922,444,587,933,889,1124,652,634,504,709,756,905,729,401,386,274
"G06013210","2012","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",22287,1346,729,1084,884,874,620,1112,504,1273,1430,2983,3122,2369,1464,1606,887,"Chino city, California",1578,593,402,515,391,422,437,526,359,601,453,875,701,615,437,489,372
"G06013214","2012","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",23594,1499,721,623,632,722,905,323,636,765,1412,2403,3500,3274,2177,2397,1605,"Chino Hills city, California",1431,782,476,538,389,459,427,190,458,548,721,793,1017,979,730,625,457
"G06013392","2012","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",75942,4319,2851,3304,4574,2694,4650,3015,3823,2473,4958,7976,11032,7754,5259,4953,2307,"Chula Vista city, California",2830,1009,865,803,1141,857,1362,866,1043,771,1015,1250,2100,1581,1264,1277,931
"G06013588","2012","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",33628,1641,1693,1785,2197,1741,1257,2701,1952,2113,3776,3953,4652,1291,1360,1007,509,"Citrus Heights city, California",1464,681,669,606,689,683,485,759,663,792,973,950,934,456,568,476,372
"G06014218","2012","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",33177,2241,1284,1107,2109,2574,1313,983,1151,1238,2634,3243,4948,3445,1358,1883,1666,"Clovis city, California",1503,906,612,526,835,768,432,403,504,465,740,800,909,647,445,630,504
"G06015044","2012","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",22834,2103,1705,1199,1776,1129,1392,1338,2408,902,2149,1807,2061,1558,495,647,165,"Compton city, California",1046,608,445,391,573,404,435,508,634,385,611,447,545,560,256,334,136
"G06016000","2012","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",44634,1433,1739,2353,2425,997,1721,2375,2242,1397,3790,4784,5891,4643,3350,3674,1820,"Concord city, California",2116,630,769,855,838,520,802,664,836,548,987,1087,1206,1077,926,970,531
"G06016350","2012","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",44677,1782,1393,1822,2073,2064,2005,904,1290,1599,3058,4200,8241,5000,3286,3418,2542,"Corona city, California",2004,637,605,664,606,671,646,391,461,559,921,813,1225,1042,848,980,673
"G06016532","2012","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",41997,1787,1840,1507,1491,1795,1885,1835,1571,2813,3105,5158,6114,3147,3345,2797,1807,"Costa Mesa city, California",1676,647,688,649,557,661,724,614,560,801,908,1157,1183,696,911,710,571
"G06017918","2012","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",29976,742,763,827,1994,777,1321,757,1626,1892,2596,4985,2904,3117,2154,1629,1892,"Daly City city, California",1601,366,443,397,794,359,493,281,645,790,709,1017,768,838,680,513,565
"G06018100","2012","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",24361,2881,1228,1485,622,1089,1518,1410,685,553,1016,1853,3159,2036,1363,1830,1633,"Davis city, California",1418,743,466,571,411,444,735,669,419,320,607,682,731,586,468,465,455
"G06019766","2012","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",33310,2262,1461,1223,1824,1247,2118,1491,1511,1050,2231,4881,4511,2445,2079,1874,1102,"Downey city, California",1665,695,640,580,615,486,826,549,606,617,807,944,1157,667,749,583,564
"G06020802","2012","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",30707,2838,2884,2379,2921,2311,1956,1619,1602,2001,2410,2881,2861,996,880,88,80,"East Los Angeles CDP, California",1553,759,695,572,753,667,592,499,632,626,601,702,609,435,381,96,93
"G06021712","2012","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",33891,2625,3140,3334,2191,1821,2316,1398,1168,1306,3222,3298,3124,2126,1178,1166,478,"El Cajon city, California",2037,807,913,963,729,596,707,599,566,650,1065,834,785,728,492,600,281
"G06022020","2012","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",47747,2421,1582,714,1565,1191,1486,1423,1847,1092,3924,6277,6362,7842,3955,4146,1920,"Elk Grove city, California",2555,738,738,348,616,498,520,536,599,462,1036,1433,1055,1515,1027,1085,622
"G06022230","2012","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",29423,1647,2674,1805,2869,1815,1619,1831,2034,1465,2783,2355,3517,1356,697,602,354,"El Monte city, California",1264,650,668,574,798,622,547,566,567,490,749,603,711,456,389,247,251
"G06022804","2012","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",44909,3234,2520,2569,2894,4162,3077,1710,2074,2397,3773,3902,4164,2991,1766,2667,1009,"Escondido city, California",2009,926,717,742,825,1003,890,684,627,808,947,905,849,736,552,812,386
"G06023182","2012","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",34238,1659,1690,1434,1711,982,1424,1286,1806,1070,3024,4063,4461,3782,2026,2183,1637,"Fairfield city, California",1314,621,585,487,566,436,515,465,598,601,794,971,880,875,609,582,661
"G06024477","2012","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",13733,1628,1450,758,1353,1248,995,954,857,493,1263,877,858,540,369,65,25,"Florence-Graham CDP, California",1232,507,483,354,545,378,396,335,361,273,467,375,381,291,250,108,40
"G06024638","2012","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",24967,968,344,249,986,542,895,523,778,365,1485,2087,3398,4983,2189,2625,2550,"Folsom city, California",1579,482,234,184,556,412,568,291,573,246,493,746,716,915,699,595,689
"G06024680","2012","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",48641,2013,1935,2206,1603,1949,2572,2295,3147,2180,3782,6199,7416,5683,2279,2353,1029,"Fontana city, California",1732,595,594,731,567,744,812,774,911,573,895,1362,1504,1311,754,851,582
"G06026000","2012","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",69398,1891,1312,1417,1879,2207,1981,1303,1913,1873,4348,4623,9416,10994,5151,8170,10920,"Fremont city, California",2158,630,534,610,626,727,752,533,715,651,932,906,1412,1612,1091,1127,1293
"G06027000","2012","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",162149,17330,13006,14357,10210,11006,9488,7628,8269,6639,12819,14025,13544,10440,4003,4852,4533,"Fresno city, California",3174,2113,1974,1886,1335,1533,1531,1398,1439,1377,1742,1854,1771,1762,969,1260,940
"G06028000","2012","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",44685,3085,1854,2025,1612,2859,1152,2160,945,1816,3486,5418,5211,3814,3652,2489,3107,"Fullerton city, California",1732,807,699,729,602,864,388,746,495,706,962,1294,947,861,906,548,693
"G06029000","2012","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",48514,3869,2240,2731,2449,2986,2269,1425,2213,1564,4220,6460,6198,4065,2095,1911,1819,"Garden Grove city, California",1768,807,712,691,604,843,585,431,688,566,760,871,1092,922,676,601,510
"G06030000","2012","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",68952,2446,5101,6265,3862,3622,3486,3331,2876,2392,4703,5445,7902,6172,2860,4791,3698,"Glendale city, California",2159,662,983,1129,997,861,918,817,849,732,1027,1129,1231,1213,775,1083,719
"G06032548","2012","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",28649,2327,1783,2007,2691,2637,1777,1909,1573,909,1761,2766,3370,1272,680,651,536,"Hawthorne city, California",1714,658,683,604,772,728,693,647,658,379,613,851,876,446,352,319,352
"G06033000","2012","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",45451,2931,2499,2711,2142,1346,1649,1900,1710,2443,3111,5378,5121,4046,2530,2900,3034,"Hayward city, California",1709,711,769,771,660,502,518,620,608,633,690,952,942,905,636,811,790
"G06033182","2012","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",28354,2761,3155,2796,3210,2188,1806,1117,1993,992,1994,1726,2678,860,396,342,340,"Hemet city, California",1592,688,873,868,887,732,649,439,771,424,647,565,800,365,205,258,302
"G06033434","2012","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",27082,3055,2673,1453,1943,1762,1644,1561,2086,1003,2879,2289,1878,1787,446,504,119,"Hesperia city, California",1587,1035,990,545,723,762,701,582,707,441,827,706,756,609,312,243,115
"G06036000","2012","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",70689,1826,2591,1802,2984,2309,2383,2070,2169,3022,5370,6351,8889,8105,5114,7774,7930,"Huntington Beach city, California",2205,556,700,621,855,754,692,635,720,908,1005,1164,1218,1190,1048,1218,1212
"G06036448","2012","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",22504,1503,1188,1815,1577,1006,1065,1349,1214,963,2406,1793,2117,1810,891,1290,517,"Indio city, California",1477,563,523,682,527,477,430,528,555,407,770,645,630,532,420,593,356
"G06036546","2012","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",36292,2980,2596,2355,2472,2581,3081,1440,2280,1946,2540,3795,4312,1909,795,697,513,"Inglewood city, California",1613,818,797,710,726,702,995,541,647,680,708,989,972,524,399,290,269
"G06036770","2012","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",82613,5762,2269,1892,2227,1359,1629,1404,1517,1520,5301,6114,12481,10882,6504,10357,11395,"Irvine city, California",2984,1442,769,699,863,536,671,646,773,571,1702,1370,2325,2270,1424,1827,2095
"G06037692","2012","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",23813,1642,1097,1310,1760,1232,1323,998,1243,1197,1335,2686,3530,1798,1190,1291,181,"Jurupa Valley city, California",1382,611,531,448,594,568,487,436,426,461,370,691,768,547,672,651,133
