GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G04027400","2018","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",78555,2005,924,1175,1579,1629,1563,1210,1730,2021,5877,6450,13180,10418,9667,9642,9485,"Gilbert town, Arizona",2252,784,476,633,525,500,549,437,614,700,1364,1033,1741,1497,1371,1382,1373
"G04027820","2018","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",83873,5123,3446,4169,4236,4572,4472,3773,4347,4060,6937,9035,12463,6718,4158,3594,2770,"Glendale city, Arizona",3014,988,1082,1012,1061,1269,1103,1073,1161,1126,1382,1790,1778,1174,1005,774,691
"G04028380","2018","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",26405,473,242,272,1180,960,594,701,1027,571,1585,2891,4472,3726,2617,2757,2337,"Goodyear city, Arizona",2005,275,210,261,719,546,510,519,457,396,800,828,1344,989,763,878,801
"G04046000","2018","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",185509,9009,6142,8792,9005,8181,12678,9518,7449,8474,16090,23585,21138,19336,8560,9309,8243,"Mesa city, Arizona",3765,1434,1252,1346,1541,1622,1969,1624,1193,1558,1862,2499,1882,1955,1227,1323,1199
"G04054050","2018","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",63218,2352,2545,2424,2135,1959,2227,2970,1827,2329,5161,6630,8914,6216,5676,4917,4936,"Peoria city, Arizona",2358,707,942,780,767,802,749,991,545,700,1007,1078,1328,1056,1242,1078,989
"G04055000","2018","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",574645,32603,20338,23834,31431,25091,28073,31248,28341,23865,49637,56012,77548,49082,30781,32388,34373,"Phoenix city, Arizona",7444,3721,2444,3105,2670,2755,3191,2923,2725,2354,3451,3477,4885,3264,2459,3060,2611
"G04064210","2018","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",32608,1331,268,819,1103,851,1051,1170,605,1471,4171,4673,6464,3281,2541,1798,1011,"San Tan Valley CDP, Arizona",2569,736,246,523,946,591,638,530,502,583,1390,1357,1720,1295,1100,825,614
"G04065000","2018","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",117024,4795,2622,2897,3361,3562,4689,4261,3498,3274,6919,10166,14712,10493,8906,11334,21535,"Scottsdale city, Arizona",3167,1123,845,1069,1083,933,1209,964,896,897,1330,1577,1879,1757,1541,1530,1967
"G04071510","2018","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",49936,2020,885,1324,1646,1810,1922,1476,1749,2533,5460,5839,8650,5878,3407,2322,3015,"Surprise city, Arizona",2283,806,481,494,610,547,740,473,511,769,1163,1255,1489,1301,1102,695,1238
"G04073000","2018","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",74266,5869,2953,2924,2734,2005,4010,2368,3318,3158,7476,7647,9766,8079,3852,4077,4030,"Tempe city, Arizona",2923,1142,1124,886,856,862,1091,793,940,1169,1385,1501,1473,1388,872,915,936
"G04077000","2018","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",209383,20967,10984,14010,13005,12498,11268,12524,11994,10678,17719,22327,20910,12238,6491,7366,4404,"Tucson city, Arizona",4500,2217,1624,2289,1780,1873,1563,1639,1658,1828,1994,2545,2359,1874,1034,1346,1027
"G04085540","2018","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",35548,2873,2147,1365,2699,1049,2734,2620,1887,839,3329,3814,4482,2383,1188,1465,674,"Yuma city, Arizona",2020,831,827,615,945,642,1253,1056,686,437,1239,1169,1129,870,428,491,298
"G05015190","2018","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",23009,2038,1773,1037,2179,1377,1001,1282,903,712,1321,1789,2004,2189,1659,703,1042,"Conway city, Arkansas",1505,791,685,485,757,637,552,775,453,454,639,611,602,756,770,396,735
"G05023290","2018","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",36882,4393,3088,2650,2150,1308,2543,1575,1465,1497,3408,2342,3631,2418,1439,1930,1045,"Fayetteville city, Arkansas",1866,1518,1094,937,803,620,923,700,725,726,1178,1014,980,814,672,818,417
"G05024550","2018","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",35442,2798,2725,1804,1931,2872,2003,1803,1549,2595,3160,2325,3557,2928,1072,1086,1234,"Fort Smith city, Arkansas",1569,951,933,743,689,896,714,763,640,1015,1014,791,999,882,522,676,637
"G05035710","2018","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",29492,3248,1253,2306,2265,864,1726,921,2152,1049,3138,2786,3855,1266,1101,560,1002,"Jonesboro city, Arkansas",1333,1062,629,918,1070,452,724,578,1036,544,1178,924,1028,516,514,316,533
"G05041000","2018","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",81517,7163,4583,4988,4149,4861,3905,4673,4598,3191,6716,4826,7413,5616,3566,4201,7068,"Little Rock city, Arkansas",2985,1864,1435,1426,1033,1279,1068,1421,1202,872,1527,1221,1358,1111,1182,983,1350
"G05050450","2018","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",28402,2248,1937,1004,2549,2449,922,1457,1228,1828,2706,2731,2717,1828,1065,779,954,"North Little Rock city, Arkansas",1617,772,881,573,839,1183,442,831,656,832,850,1052,836,613,546,375,523
"G05060410","2018","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",24440,390,1340,1049,1105,1184,862,1182,723,1150,2593,2641,2788,1930,1688,1675,2140,"Rogers city, Arkansas",1408,213,737,566,471,578,530,538,383,536,697,800,918,618,693,578,677
"G05066080","2018","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",27283,1102,301,1581,1176,2252,941,2483,1711,1719,2436,3663,3641,1422,937,873,1045,"Springdale city, Arkansas",1693,718,252,961,636,951,481,915,797,952,830,1244,1117,561,561,624,445
"G06000562","2018","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30724,1430,604,597,1138,1021,1028,640,919,337,1267,2766,2313,2733,2466,5045,6420,"Alameda city, California",1435,611,325,411,560,464,493,521,498,259,459,839,664,590,591,1072,1046
"G06000884","2018","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",30556,1611,1848,1846,2309,1133,1004,1298,843,1151,2539,2736,3036,3875,1870,1824,1633,"Alhambra city, California",1401,659,783,599,816,450,366,491,380,482,717,824,840,828,672,636,555
"G06002000","2018","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",101547,4134,3590,3600,3674,3512,4509,3555,3608,3497,5181,11217,14245,11049,8090,10402,7684,"Anaheim city, California",2857,1068,1062,932,937,990,1215,1114,1075,1008,1284,1457,1806,1794,1334,1690,1393
"G06002252","2018","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",34518,1138,1824,795,1486,1931,975,1506,1038,671,2213,3936,5122,4048,2685,3314,1836,"Antioch city, California",1712,717,984,437,699,673,434,830,658,375,829,1170,1292,1083,851,1092,777
"G06002364","2018","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",24302,1195,1479,713,1720,1049,1187,741,1523,810,2026,2575,3718,1701,1320,1561,984,"Apple Valley town, California",1765,578,676,343,719,568,605,432,749,459,661,824,1045,789,518,688,407
"G06002553","2018","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",44426,3412,2408,3162,2095,2446,1815,2094,2186,2699,2141,3562,4795,4007,2304,2296,3004,"Arden-Arcade CDP, California",2534,1054,873,1085,747,803,743,876,760,1109,786,910,969,1110,687,803,807
"G06003526","2018","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",121615,7812,4270,6033,6440,6138,5413,5447,5208,5280,8764,12123,14170,13183,6932,7642,6760,"Bakersfield city, California",3390,1648,1090,1495,1298,1509,1349,1271,1217,1267,1855,2260,2314,2170,1503,1503,1295
"G06003666","2018","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",18224,585,486,810,1621,786,507,587,558,1062,1383,2121,2711,2171,1200,1259,377,"Baldwin Park city, California",924,353,362,490,607,388,293,339,327,546,544,693,676,727,494,535,273
"G06004982","2018","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",24333,689,1409,1226,947,705,1349,1306,726,1158,1957,2937,3221,3208,1697,1289,509,"Bellflower city, California",1414,399,608,649,376,424,667,676,381,547,693,875,682,760,618,422,258
"G06006000","2018","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",43806,3313,2192,1278,1496,1455,1566,717,1622,1369,2534,3303,4067,3071,2814,3952,9057,"Berkeley city, California",2151,797,741,516,546,552,646,367,628,547,762,753,812,736,681,816,1219
"G06008786","2018","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23171,722,412,418,646,573,1251,783,1201,529,1503,2354,3288,2114,2430,2136,2811,"Buena Park city, California",1383,409,350,363,448,297,555,448,485,282,637,711,873,635,685,680,769
"G06008954","2018","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",43060,2918,2497,1876,865,1722,2241,758,1338,1908,1769,3866,5295,3864,3087,3159,5897,"Burbank city, California",2077,1058,970,826,559,935,742,425,630,838,596,934,1083,960,878,845,1133
"G06010046","2018","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",25137,1063,819,315,793,383,618,877,877,341,1218,2687,3602,3153,2582,2985,2824,"Camarillo city, California",1259,389,456,205,426,258,359,459,544,183,550,769,907,809,899,720,758
"G06011194","2018","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",44950,2072,503,846,1523,1418,644,1257,820,1065,1857,4317,4499,5325,3581,5561,9662,"Carlsbad city, California",2464,1101,335,794,971,715,373,852,489,630,806,1368,1254,1652,1166,955,1311
"G06011390","2018","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",26271,1338,1395,1094,1196,623,803,1006,1397,968,2974,2384,2821,2249,1363,2237,2423,"Carmichael CDP, California",1766,691,747,508,499,330,523,575,667,552,1087,674,692,644,488,710,699
"G06011530","2018","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",23896,1032,1004,847,847,668,532,443,646,775,2061,1487,3700,2880,1837,2358,2779,"Carson city, California",1477,500,523,560,516,333,331,278,356,458,686,552,837,862,576,783,863
"G06011964","2018","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",20371,600,291,494,505,332,627,606,274,390,808,936,2618,2538,1142,2439,5771,"Castro Valley CDP, California",1379,301,258,256,447,250,481,332,218,270,335,385,630,662,479,789,930
"G06013014","2018","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",37100,2800,2206,3058,1481,1862,2359,2014,1200,1044,2277,3949,3235,3610,1324,2665,2016,"Chico city, California",1662,760,694,883,530,753,783,711,637,520,681,968,943,1018,515,740,593
"G06013210","2018","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",25509,1031,612,1018,681,380,455,636,1087,1018,1844,3023,4864,2344,1656,2539,2321,"Chino city, California",1242,437,379,559,389,280,287,334,400,623,799,853,1244,649,557,789,653
"G06013214","2018","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",24015,1086,450,152,242,689,456,1005,1049,218,1165,1485,3094,3562,1718,4135,3509,"Chino Hills city, California",1408,556,421,195,208,503,333,585,722,181,562,601,917,779,631,1103,841
"G06013392","2018","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",78112,2129,3314,1770,2513,2127,3771,2069,1953,2727,4966,7388,9485,11370,7943,8343,6244,"Chula Vista city, California",2477,715,1016,686,793,719,1305,661,694,912,1034,2152,1596,1949,1571,1969,1570
"G06013588","2018","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",33390,1513,1289,1844,2216,651,1200,1751,870,1404,2593,3472,5993,2995,2077,2180,1342,"Citrus Heights city, California",1954,617,631,731,894,269,435,706,392,558,744,980,1108,800,761,701,486
"G06014218","2018","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",38223,1467,1173,1018,1257,1115,2808,1197,1775,1100,2475,3892,4744,4337,4028,3014,2823,"Clovis city, California",1979,719,546,476,638,494,802,520,708,470,819,964,1093,1021,996,826,737
"G06015044","2018","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",24489,2671,1077,1728,1344,1133,1147,905,1029,934,2115,3475,3116,1834,827,925,229,"Compton city, California",1362,779,532,609,644,487,457,420,478,481,647,783,723,644,409,369,154
"G06016000","2018","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",49444,2210,1730,1442,1967,1705,1180,625,1154,2188,2766,4103,6892,6508,3011,6018,5945,"Concord city, California",2411,911,808,805,917,897,533,557,628,799,947,1005,1265,1275,878,1283,1171
"G06016350","2018","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",43987,1647,1236,788,1109,988,1987,688,1683,1987,3070,3206,5277,6408,3272,5536,5105,"Corona city, California",1986,769,462,459,483,442,624,385,731,700,900,746,1141,1258,625,903,1031
"G06016532","2018","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",40295,2422,1136,1195,960,361,1197,1569,927,886,2952,4163,6335,4776,2059,4245,5112,"Costa Mesa city, California",1976,963,510,474,392,274,584,819,518,366,979,967,1318,1155,722,1000,921
"G06017918","2018","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",32792,1305,1605,979,739,734,1185,784,393,681,2488,3071,4723,2903,2819,3464,4919,"Daly City city, California",2297,652,758,659,539,475,659,473,281,478,1024,952,1071,897,923,762,922
"G06018100","2018","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",24796,3422,858,595,824,1217,851,815,491,401,2131,1493,2316,1932,1709,1752,3989,"Davis city, California",1309,872,414,432,536,560,408,386,425,290,641,599,704,673,556,517,718
"G06019766","2018","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",34820,1128,882,984,535,964,1288,2034,2081,932,1964,4930,5929,3865,2324,2774,2206,"Downey city, California",1630,616,465,518,337,596,612,814,894,491,726,1358,1260,969,730,757,790
"G06020802","2018","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",30851,2157,1984,1535,1689,1600,2813,1442,2018,1089,1751,3728,3353,2846,1780,466,600,"East Los Angeles CDP, California",1908,770,624,570,644,549,781,519,630,416,570,786,798,800,561,263,326
"G06021712","2018","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",33153,2269,2449,1578,960,1562,1225,1901,1274,1738,3255,2665,4572,2095,1837,2151,1622,"El Cajon city, California",1667,778,901,574,627,667,595,694,641,680,965,773,1182,671,753,722,617
"G06022020","2018","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",53620,2419,448,1499,1330,1138,2031,1780,900,1733,3504,4408,7798,6737,6698,6615,4582,"Elk Grove city, California",2139,965,290,711,497,688,805,818,447,594,1014,1044,1446,1164,1134,1223,944
"G06022230","2018","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",30469,2059,1753,1555,2107,1435,1116,2037,2030,1965,2560,3460,3548,1966,960,1185,733,"El Monte city, California",1615,743,632,574,651,583,392,662,780,668,750,964,858,673,460,497,365
"G06022804","2018","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",51439,4833,1859,2009,1990,2397,1516,2028,2073,2075,3953,5734,6765,4308,2637,4047,3215,"Escondido city, California",2664,1539,764,824,707,870,576,930,851,748,1066,1155,1420,988,775,803,727
"G06023182","2018","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",38964,1189,778,757,1499,848,744,1656,1825,893,2375,5065,6027,5850,1956,3577,3925,"Fairfield city, California",1440,467,421,375,647,455,483,770,693,444,844,1166,1299,1107,546,948,1015
"G06024477","2018","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",14516,1273,1112,581,780,1109,934,1881,361,126,1637,1199,1815,575,462,561,110,"Florence-Graham CDP, California",1352,539,438,297,370,440,370,581,304,124,546,480,623,403,323,384,110
"G06024638","2018","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",26845,1044,666,679,529,424,519,772,440,1056,1354,1631,2912,3052,2462,4844,4461,"Folsom city, California",1701,500,505,354,314,245,301,485,233,609,652,627,866,701,675,1012,939
"G06024680","2018","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",54788,2161,1489,1760,1836,1641,2100,2251,2290,1621,4207,6246,8064,4799,5288,3882,5153,"Fontana city, California",2290,742,698,588,616,636,839,741,708,685,1088,1488,1476,1103,1066,1062,1413
"G06026000","2018","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",78243,2537,1443,1013,1218,1128,1289,775,1356,1008,3622,4383,6113,9435,6645,11946,24332,"Fremont city, California",2036,1086,700,475,597,590,702,319,568,427,1117,1114,1058,1466,1552,1648,1997
"G06027000","2018","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",171209,14886,11176,10420,11848,7057,8107,7527,8036,6723,11790,16974,21112,12121,8500,8339,6593,"Fresno city, California",2949,2003,1898,1859,1657,1401,1534,1349,1388,1594,1596,2011,2053,1544,1594,1570,1558
"G06028000","2018","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",45180,2341,1136,979,1445,2222,1430,2271,1522,1418,3166,4747,5584,3865,2480,5140,5434,"Fullerton city, California",1826,819,602,448,680,994,554,897,650,631,942,1109,1081,754,886,1006,873
"G06029000","2018","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",44696,2062,1514,1427,2438,1240,1709,1272,1319,1612,3580,4655,6932,4581,3093,4104,3158,"Garden Grove city, California",1830,754,538,480,667,483,677,457,483,546,767,821,1170,1054,689,826,689
"G06030000","2018","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",73675,5405,3668,4250,2873,3302,1918,2204,2166,2682,3959,6895,9130,7020,3815,6426,7962,"Glendale city, California",2507,1128,1098,1142,944,789,624,815,820,826,911,1281,1411,1324,854,1357,1266
"G06032548","2018","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",29174,1383,985,1113,1395,1090,1782,687,1579,1548,2140,3487,5581,3141,1221,972,1070,"Hawthorne city, California",2100,646,549,564,573,502,641,410,669,556,783,990,1155,880,458,502,556
