GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017
"G0100210","2005-2009","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County, Alabama",16176,1749,1254,1185,977,1137,1067,884,779,865,1473,1382,1676,825,375,329,219,"Chilton County, Alabama",393,275,246,264,246,235,234,184,155,209,245,222,221,170,132,114,117
"G0100230","2005-2009","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023","Choctaw County, Alabama",5780,816,646,611,354,410,397,347,340,189,496,436,482,123,55,37,41,"Choctaw County, Alabama",326,191,155,189,125,146,132,118,121,98,149,131,121,47,36,31,32
"G0100250","2005-2009","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025","Clarke County, Alabama",9259,1826,770,851,809,854,318,363,325,258,582,537,711,542,227,126,160,"Clarke County, Alabama",512,270,189,201,238,250,95,143,122,132,154,160,168,173,93,78,96
"G0100270","2005-2009","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027","Clay County, Alabama",5774,596,402,436,506,437,407,351,432,219,469,634,553,241,35,30,26,"Clay County, Alabama",853,208,164,160,198,136,167,102,141,101,142,185,179,100,30,26,29
"G0100290","2005-2009","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029","Cleburne County, Alabama",5279,617,562,395,343,457,343,367,216,141,350,546,625,94,73,54,96,"Cleburne County, Alabama",213,162,144,115,88,140,126,129,87,59,97,122,174,53,58,45,74
"G0100310","2005-2009","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031","Coffee County, Alabama",18850,1724,1485,1269,1063,1140,1303,1130,835,805,1481,1908,1996,1331,591,488,301,"Coffee County, Alabama",309,228,262,214,179,176,210,228,157,163,217,247,223,188,179,115,116
"G0100330","2005-2009","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033","Colbert County, Alabama",22881,2166,1959,1915,1379,1322,1522,1383,1224,884,2043,2036,2728,1149,451,383,337,"Colbert County, Alabama",453,263,298,282,248,187,323,270,228,198,284,267,320,231,136,114,138
"G0100350","2005-2009","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035","Conecuh County, Alabama",5401,875,714,501,474,311,416,158,197,195,402,359,471,146,75,30,77,"Conecuh County, Alabama",301,241,196,168,162,137,175,82,96,112,151,137,185,93,60,34,78
"G0100370","2005-2009","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037","Coosa County, Alabama",4528,571,477,227,391,366,309,236,247,267,226,372,499,189,108,6,37,"Coosa County, Alabama",248,145,133,87,120,123,103,102,95,92,82,112,143,80,83,9,36
"G0100390","2005-2009","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039","Covington County, Alabama",14651,1785,1448,1182,1216,943,1109,659,800,517,1242,1469,1037,567,245,309,123,"Covington County, Alabama",439,276,206,191,270,192,209,187,197,128,225,266,225,160,98,123,64
"G0100410","2005-2009","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041","Crenshaw County, Alabama",5857,984,559,541,394,365,395,268,224,220,535,398,535,146,112,61,120,"Crenshaw County, Alabama",196,172,145,126,134,105,114,81,96,76,140,98,123,51,58,37,80
"G0100430","2005-2009","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",30993,3309,2470,2303,2085,2233,1855,1833,1419,1396,2819,3108,2827,1456,817,628,435,"Cullman County, Alabama",570,395,338,325,266,305,250,257,262,256,355,383,298,244,222,141,113
"G0100450","2005-2009","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045","Dale County, Alabama",19257,1823,1300,1503,1114,1220,1179,975,1338,1039,1816,1883,2072,1105,426,256,208,"Dale County, Alabama",697,253,196,255,203,235,205,215,229,169,260,295,250,180,101,94,75
"G0100470","2005-2009","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047","Dallas County, Alabama",17077,3532,1789,1638,1200,1198,1026,834,664,519,957,1208,1265,659,267,177,144,"Dallas County, Alabama",456,355,264,280,236,205,201,179,153,144,183,231,217,149,104,76,70
"G0100490","2005-2009","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",24999,2736,2313,2262,2143,1942,1503,1293,1466,1470,1821,2276,1946,830,322,286,390,"DeKalb County, Alabama",917,333,354,343,416,335,257,232,291,277,328,282,276,210,170,122,145
"G0100510","2005-2009","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",25417,1717,1268,1168,1489,1273,1641,1096,1371,1052,2563,2938,3567,1860,1195,734,485,"Elmore County, Alabama",752,303,233,215,243,229,252,206,250,192,291,308,307,267,181,159,134
"G0100530","2005-2009","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053","Escambia County, Alabama",14222,2139,1173,1253,1114,785,1187,666,737,673,1003,1368,1086,613,168,127,130,"Escambia County, Alabama",371,302,219,211,218,192,239,175,165,133,208,236,193,153,98,67,65
"G0100550","2005-2009","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",42687,4330,3427,3609,3197,3003,3108,2557,2362,1899,3043,3679,4108,2247,1100,542,476,"Etowah County, Alabama",596,451,335,446,363,356,348,335,301,278,363,362,335,275,191,150,117
"G0100570","2005-2009","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057","Fayette County, Alabama",7414,920,775,395,489,494,580,508,373,453,863,470,613,237,139,78,27,"Fayette County, Alabama",325,179,184,137,135,141,178,150,119,138,204,134,157,91,73,58,29
"G0100590","2005-2009","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059","Franklin County, Alabama",12372,1393,1216,979,1136,845,871,662,597,665,959,1137,1073,304,237,152,146,"Franklin County, Alabama",345,213,230,193,258,202,174,183,135,175,172,202,184,109,98,71,75
"G0100610","2005-2009","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061","Geneva County, Alabama",10410,1461,917,1047,838,799,628,687,477,451,716,937,797,393,129,74,59,"Geneva County, Alabama",349,260,172,217,201,181,182,158,132,147,170,219,171,132,65,45,55
"G0100630","2005-2009","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063","Greene County, Alabama",3692,807,312,473,365,121,120,306,109,69,380,245,216,102,31,24,12,"Greene County, Alabama",306,196,109,135,116,76,79,111,66,41,140,96,103,69,29,28,18
"G0100650","2005-2009","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065","Hale County, Alabama",6263,1092,724,459,460,407,343,438,372,189,422,644,420,171,94,10,18,"Hale County, Alabama",236,201,173,119,144,119,92,137,104,70,125,179,90,58,41,15,18
"G0100670","2005-2009","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067","Henry County, Alabama",6312,702,831,520,220,381,431,436,321,297,434,390,764,360,106,88,31,"Henry County, Alabama",317,151,187,152,111,121,128,156,131,113,113,143,195,136,66,56,30
"G0100690","2005-2009","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",36981,3639,2638,2708,2686,2310,2186,1947,1804,1530,2943,3537,3939,2166,1179,991,778,"Houston County, Alabama",476,233,210,199,204,184,180,170,183,133,174,268,248,154,131,114,93
"G0100710","2005-2009","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071","Jackson County, Alabama",21352,2709,1829,1811,1694,1295,1322,994,1262,1217,1667,2092,1977,795,327,249,112,"Jackson County, Alabama",400,350,269,323,254,226,213,183,227,217,232,295,223,182,124,103,47
"G0100730","2005-2009","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",267675,24355,17769,17561,16930,15287,14972,14079,13639,12258,22973,24684,29155,16851,9474,8368,9320,"Jefferson County, Alabama",1809,1002,904,876,845,910,947,747,949,802,987,1121,1274,799,661,617,527
"G0100750","2005-2009","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075","Lamar County, Alabama",6145,1078,487,462,566,413,308,430,301,222,440,449,569,211,89,38,82,"Lamar County, Alabama",293,201,125,140,169,132,114,128,109,82,138,113,129,65,60,37,82
"G0100770","2005-2009","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",36458,3964,3554,2864,2506,2177,1951,2214,1836,1472,2409,3150,3983,2046,1026,617,689,"Lauderdale County, Alabama",630,388,347,389,336,292,279,312,250,223,264,354,423,260,204,155,161
"G0100790","2005-2009","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079","Lawrence County, Alabama",13587,1193,887,1295,664,778,934,771,777,805,1273,1317,1652,806,221,156,58,"Lawrence County, Alabama",388,223,184,224,152,160,217,185,184,186,201,248,270,193,80,87,41
"G0100810","2005-2009","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",54137,7938,4237,3892,3294,3304,2488,2765,2167,2279,4123,5346,5373,3132,1566,1279,954,"Lee County, Alabama",754,580,438,473,421,402,358,383,289,306,457,436,394,296,228,165,168
"G0100830","2005-2009","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",26114,1988,1658,1448,1848,1705,1496,1433,1482,1359,2371,2464,2589,1909,994,906,464,"Limestone County, Alabama",482,258,252,286,264,251,250,243,247,217,275,290,284,276,175,168,102
"G0100850","2005-2009","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085","Lowndes County, Alabama",4781,943,416,390,325,299,379,193,181,225,295,389,331,262,25,36,92,"Lowndes County, Alabama",196,127,116,101,85,92,112,76,71,72,93,92,82,80,29,40,66
"G0100870","2005-2009","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087","Macon County, Alabama",8233,1410,865,788,874,522,328,252,429,355,557,696,646,275,85,95,56,"Macon County, Alabama",496,255,243,229,245,150,111,94,154,112,123,166,169,102,42,51,40
"G0100890","2005-2009","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",124546,8767,5725,6194,6821,6754,5957,6307,5066,5119,10184,11635,16049,11602,6926,6963,4477,"Madison County, Alabama",1434,720,557,524,580,584,509,520,467,505,621,655,754,663,468,458,313
"G0100910","2005-2009","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091","Marengo County, Alabama",8551,1701,789,638,638,421,587,474,536,440,433,570,538,291,326,100,69,"Marengo County, Alabama",253,304,205,170,188,106,161,133,181,137,124,128,145,94,99,57,72
"G0100930","2005-2009","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093","Marion County, Alabama",13081,1663,1245,1414,1084,832,849,511,639,618,1165,1317,817,568,128,117,114,"Marion County, Alabama",416,244,234,274,211,194,209,139,168,167,237,249,163,175,57,68,81
"G0100950","2005-2009","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",33073,3868,3047,2185,2351,2225,1906,1924,1686,1170,2628,3333,3108,1642,933,473,594,"Marshall County, Alabama",541,448,348,273,328,346,307,309,281,211,362,329,325,255,226,124,131
"G0100970","2005-2009","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",155657,18364,11602,10548,9532,9690,9107,8161,8192,7166,13779,14328,16250,8628,4169,2951,3190,"Mobile County, Alabama",1209,923,787,661,613,715,633,691,708,534,783,753,776,607,362,348,309
"G0100990","2005-2009","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099","Monroe County, Alabama",9502,1513,1084,681,715,791,650,304,456,321,590,746,884,397,130,189,51,"Monroe County, Alabama",324,301,270,213,252,215,167,134,133,122,136,193,226,109,91,124,42
"G0101010","2005-2009","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",89589,8505,7019,5229,5694,5307,4783,5633,4156,3949,7157,8109,10146,5581,3096,2584,2641,"Montgomery County, Alabama",1172,658,585,495,663,533,455,505,486,364,660,674,550,431,423,343,297
"G0101030","2005-2009","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",46200,4075,2959,3322,3327,2736,2590,2682,2380,2348,3533,4750,5029,3106,1359,1284,720,"Morgan County, Alabama",513,392,377,369,415,344,346,361,340,329,392,402,425,311,242,239,174
"G0101050","2005-2009","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105","Perry County, Alabama",4489,731,456,663,332,279,337,388,166,148,220,351,261,50,59,10,38,"Perry County, Alabama",493,201,170,190,119,128,129,163,74,94,113,150,111,39,61,14,34
"G0101070","2005-2009","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107","Pickens County, Alabama",8226,1464,1105,776,596,482,459,311,439,277,389,696,723,346,104,53,6,"Pickens County, Alabama",264,228,204,197,169,111,135,93,156,78,108,177,167,113,53,42,10
"G0101090","2005-2009","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109","Pike County, Alabama",12862,2565,1166,1098,1060,867,888,596,489,283,881,877,801,485,342,232,232,"Pike County, Alabama",311,278,240,192,186,171,175,138,118,79,138,171,170,113,124,79,95
"G0101110","2005-2009","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111","Randolph County, Alabama",7834,778,786,653,528,740,424,423,329,396,786,684,591,275,206,175,60,"Randolph County, Alabama",306,190,191,132,141,165,158,117,107,122,169,173,132,93,68,101,39
"G0101130","2005-2009","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113","Russell County, Alabama",21500,2950,1806,1811,1955,1541,1696,1236,1033,1001,1538,1811,1752,813,252,216,89,"Russell County, Alabama",511,363,256,292,314,334,300,222,206,226,267,286,272,198,89,109,44
"G0101150","2005-2009","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",26355,1930,1911,1397,1408,1433,1702,1394,1347,956,2783,3074,3411,1780,740,768,321,"St. Clair County, Alabama",642,288,325,247,237,288,318,284,253,180,425,388,386,331,192,191,126
"G0101170","2005-2009","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",69779,2509,1898,2319,3139,2806,3231,3192,3313,2800,5956,7436,10092,7932,4641,4397,4118,"Shelby County, Alabama",622,359,285,333,351,364,373,302,431,356,413,415,606,540,344,394,373
"G0101190","2005-2009","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119","Sumter County, Alabama",5334,1343,798,454,423,346,319,238,318,207,154,127,277,175,48,69,38,"Sumter County, Alabama",267,273,162,150,144,142,164,124,120,109,86,69,140,89,35,57,35
"G0101210","2005-2009","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",30715,4417,2447,2733,1881,1931,1626,1590,1776,1255,2565,2837,2769,1293,858,472,265,"Talladega County, Alabama",562,479,354,341,305,339,257,269,291,263,332,334,367,222,201,119,89
"G0101230","2005-2009","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123","Tallapoosa County, Alabama",15983,1524,1541,1427,1152,1108,992,755,871,713,1098,1622,1510,701,369,329,271,"Tallapoosa County, Alabama",357,220,235,230,206,165,192,181,218,192,203,219,213,173,117,98,93
"G0101250","2005-2009","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",69685,10527,5131,3980,4803,3447,3507,3713,3320,3158,5149,6256,7261,4303,1914,1509,1707,"Tuscaloosa County, Alabama",963,668,488,501,531,392,397,430,418,438,417,454,498,368,252,216,241
"G0101270","2005-2009","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",27943,2793,2514,2311,2200,1879,1773,1486,1487,915,2257,2710,2949,1445,632,322,270,"Walker County, Alabama",480,326,302,271,301,292,283,215,230,170,286,344,300,216,140,98,95
"G0101290","2005-2009","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129","Washington County, Alabama",6634,993,678,543,514,337,271,170,177,196,771,688,658,415,107,63,53,"Washington County, Alabama",257,222,170,133,154,136,99,87,76,111,175,197,166,140,58,42,41
"G0101310","2005-2009","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131","Wilcox County, Alabama",4366,1058,506,481,410,322,171,178,120,116,312,220,157,231,40,29,15,"Wilcox County, Alabama",250,174,140,131,123,125,75,74,74,54,84,76,58,85,31,23,14
"G0101330","2005-2009","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133","Winston County, Alabama",9376,1098,1160,1033,881,538,526,434,520,345,805,902,549,203,119,66,197,"Winston County, Alabama",570,222,241,285,215,162,188,118,182,102,216,225,160,99,80,45,116
"G0200130","2005-2009","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013","Aleutians East Borough, Alaska",355,5,10,26,12,23,13,15,33,23,25,58,42,25,18,22,5,"Aleutians East Borough, Alaska",205,10,12,35,15,16,18,15,29,21,20,31,35,23,15,17,6
"G0200160","2005-2009","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016","Aleutians West Census Area, Alaska",563,32,10,8,5,15,21,10,21,24,45,109,109,44,54,40,16,"Aleutians West Census Area, Alaska",402,21,27,14,10,14,21,14,21,30,39,73,81,33,48,30,19
"G0200200","2005-2009","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",103602,3362,3375,2926,3813,4492,4013,3947,4837,4608,8394,11740,16527,11424,7075,7468,5601,"Anchorage Municipality, Alaska",712,388,392,404,423,478,495,516,504,518,553,743,859,599,520,461,444
"G0200500","2005-2009","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050","Bethel Census Area, Alaska",4178,267,197,255,201,194,232,247,204,161,362,379,622,301,202,175,179,"Bethel Census Area, Alaska",127,65,43,56,52,49,49,66,68,45,96,85,136,94,59,75,99
"G0200600","2005-2009","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060","Bristol Bay Borough, Alaska",274,6,21,7,12,13,1,14,5,17,36,21,41,38,23,19,0,"Bristol Bay Borough, Alaska",161,7,20,8,14,14,6,13,11,21,38,17,28,34,18,15,109
"G0200680","2005-2009","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068","Denali Borough, Alaska",521,12,15,20,16,6,28,33,23,16,27,56,152,34,51,20,12,"Denali Borough, Alaska",247,28,16,19,18,8,31,27,24,15,26,36,92,27,46,20,14
"G0200700","2005-2009","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070","Dillingham Census Area, Alaska",1443,78,70,45,66,22,44,103,84,74,126,174,176,168,44,113,56,"Dillingham Census Area, Alaska",77,24,22,23,26,13,22,28,30,30,40,45,43,50,21,35,31
"G0200900","2005-2009","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",32211,1546,1170,1052,1285,1411,1354,1464,1403,1296,2715,3860,5019,3832,2096,1664,1044,"Fairbanks North Star Borough, Alaska",689,281,239,224,236,287,252,277,233,267,308,524,426,382,272,240,226
"G0201000","2005-2009","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100","Haines Borough, Alaska",1187,30,25,176,110,18,48,105,113,76,100,106,157,10,26,11,76,"Haines Borough, Alaska",147,30,63,94,69,19,38,71,75,54,59,59,89,11,32,21,69
"G0201050","2005-2009","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105","Hoonah-Angoon Census Area, Alaska",976,50,82,76,106,63,26,49,74,23,74,167,83,53,41,9,0,"Hoonah-Angoon Census Area, Alaska",105,39,23,37,44,36,17,25,47,16,31,46,31,22,22,9,109
"G0201100","2005-2009","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110","Juneau City and Borough, Alaska",11848,507,270,314,279,295,392,624,428,668,908,1166,2149,1324,1167,879,478,"Juneau City and Borough, Alaska",335,196,89,105,97,92,119,174,120,177,185,228,256,193,172,154,109
