GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAACE001,AAACE002,AAACE003,AAACE004,AAACE005,AAACE006,AAACE007,AAACE008,AAACE009,AAACE010,AAACE011,AAACE012,AAACE013,AAACE014,AAACE015,AAACE016,AAACE017,AAACE018,AAACE019,AAACE020,AAACE021,AAACE022,AAACE023,AAACE024,AAACE025,AAACE026,AAACE027,AAACE028,AAACE029,AAACE030,AAACE031,AAACE032,AAACE033,AAACE034,AAACE035,AAACE036,AAACE037,AAACE038,AAACE039,AAACE040,AAACE041,AAACE042,AAACE043,AAACE044,AAACE045,AAACE046,AAACE047,AAACE048,AAACE049,NAME_M,AAACM001,AAACM002,AAACM003,AAACM004,AAACM005,AAACM006,AAACM007,AAACM008,AAACM009,AAACM010,AAACM011,AAACM012,AAACM013,AAACM014,AAACM015,AAACM016,AAACM017,AAACM018,AAACM019,AAACM020,AAACM021,AAACM022,AAACM023,AAACM024,AAACM025,AAACM026,AAACM027,AAACM028,AAACM029,AAACM030,AAACM031,AAACM032,AAACM033,AAACM034,AAACM035,AAACM036,AAACM037,AAACM038,AAACM039,AAACM040,AAACM041,AAACM042,AAACM043,AAACM044,AAACM045,AAACM046,AAACM047,AAACM048,AAACM049
"G04012000","2014","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",254275,126999,9233,10054,10142,5996,3433,2004,1390,6632,9108,8965,9787,9452,9117,8535,7851,2373,2470,2173,2324,2293,2090,1069,508,127276,9493,8812,8495,5784,2061,1460,1631,3825,8632,9798,10997,8652,11252,8272,6972,2967,3725,2677,2837,3278,2509,1556,1591,"Chandler city, Arizona",43,3616,1649,1576,1683,1242,936,738,938,1624,1898,1477,1434,1367,1515,1497,1471,670,626,632,699,658,710,429,288,3609,1920,1514,1900,1241,749,772,798,920,1473,1548,1738,1289,1688,1449,1151,878,784,702,732,797,699,544,654
"G04023620","2014","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",68786,33678,1596,2190,1715,884,3047,1747,1503,2900,3347,2244,2202,1005,1241,1508,1817,361,849,843,1204,398,530,386,161,35108,2043,1397,1750,944,3398,2505,1112,3576,2495,2410,1554,1356,1700,2150,1631,1086,818,461,638,861,491,382,350,"Flagstaff city, Arizona",23,1310,521,824,639,363,781,780,650,847,540,533,542,491,434,566,562,208,315,385,392,223,260,186,137,1308,550,518,786,460,1016,1009,482,1184,642,495,584,525,470,567,517,501,297,233,397,390,275,298,244
"G04027400","2014","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",239282,118543,10618,12228,13211,7013,2450,1832,1302,3110,5624,8657,9678,7942,9142,7682,6482,1787,2583,1334,1711,2245,972,534,406,120739,8225,10420,11866,6383,3025,1030,858,3722,6925,10846,10828,9557,8953,8291,5997,1589,2369,1865,1976,3137,1090,996,791,"Gilbert town, Arizona",48,3039,2101,1683,1785,1128,761,847,597,784,1151,1292,1440,1425,1215,1255,1079,512,672,412,516,480,356,290,289,3040,1288,1481,1717,1364,740,565,388,911,1486,1615,1584,1397,1542,1196,1117,514,614,622,519,904,433,448,340
"G04027820","2014","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",237529,112405,10257,8714,7880,6238,2532,1694,2051,4045,9134,5155,7637,6611,8176,8026,8221,1486,3833,1969,2632,2767,1538,887,922,125124,8653,8084,8807,6184,4196,1712,1961,6023,9727,7989,7080,8122,7580,9854,7999,2650,3930,2996,2665,2679,2435,1577,2221,"Glendale city, Arizona",63,3011,1826,1561,1510,1353,830,588,719,1061,1907,1121,1312,1289,1441,1328,1395,483,930,657,748,750,482,424,471,3005,1531,1504,1649,1197,932,700,700,1125,1605,1198,1430,1318,1269,1349,1230,822,837,860,713,715,641,461,578
"G04028380","2014","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",75676,37150,2780,3323,3278,1603,235,471,583,737,2366,2737,2570,2174,2428,2057,1543,1432,1582,1015,1362,954,978,725,217,38526,2526,1984,2538,967,402,258,429,1438,3294,3887,2421,2299,2355,2287,3411,1692,1363,572,1074,1422,1092,596,219,"Goodyear city, Arizona",52,1644,1008,1049,1130,770,203,482,587,603,1097,941,805,1024,1015,828,681,836,748,581,625,404,463,466,203,1644,876,744,859,623,306,229,541,775,819,1114,809,817,924,875,1239,748,621,314,609,490,476,327,198
"G04046000","2014","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",464682,230440,16794,16091,15784,10144,5044,4056,2537,10075,18615,16733,17075,12970,12501,15361,12988,4480,6692,4176,5655,9573,5587,4389,3120,234242,14888,17441,16290,8597,4833,3269,3237,10407,15862,15641,12886,14264,12737,14983,14631,5032,8370,4340,6536,9330,7212,5569,7887,"Mesa city, Arizona",96,3983,1974,1860,1973,1669,1191,1205,650,1417,2480,2068,1960,1999,1645,1796,1774,983,1181,776,1039,1358,929,853,691,3983,1707,1944,1947,1411,995,927,884,1902,2016,1570,1430,1914,1516,1819,1638,860,1168,878,1148,1216,1063,892,1353
"G04054050","2014","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",166955,81937,3954,6189,6948,3422,3034,1371,1713,1730,4644,4174,4456,6612,6571,5410,4304,2059,2056,2289,2241,2957,2305,1663,1835,85018,5178,4614,5591,3503,2302,661,1356,1209,4945,4945,5306,5823,6718,6167,5891,2727,3477,1471,2985,3578,2731,2022,1818,"Peoria city, Arizona",105,2447,1100,1769,1429,1099,786,598,717,696,1389,1113,1841,1378,1327,1026,855,600,569,789,719,737,745,600,665,2451,1163,1152,1097,946,727,420,641,425,1451,1112,1257,1269,1106,1273,1134,842,930,475,1005,856,735,727,550
"G04055000","2014","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1537045,763915,59171,59534,54680,33595,21970,11363,11303,32021,61958,61971,49966,58826,50909,50199,42718,13994,21142,11704,15605,16074,10448,7788,6976,773130,56558,60076,56764,32531,20805,12081,9580,36043,61093,56756,54943,53318,50924,50691,40605,16301,22360,13953,14739,21013,12781,9269,9946,"Phoenix city, Arizona",99,6255,2769,3885,3535,2505,1930,1985,2057,2939,4231,3726,3357,2965,3030,2550,2847,1687,2157,1579,1626,1713,1455,929,1351,6262,3234,3504,3408,2196,1843,1871,1636,2799,3057,3057,3362,3621,3042,2355,2424,1894,2172,1639,1689,2031,1441,1320,1422
"G04064210","2014","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",94390,45883,2815,4956,5339,4022,878,1669,454,1712,2766,3007,4205,3767,1521,2104,523,1689,411,811,724,1518,434,271,287,48507,4630,4300,4273,2115,477,380,331,1405,3276,5189,4718,2392,2326,1535,1986,1155,1412,969,2261,1639,776,65,897,"San Tan Valley CDP, Arizona",7636,4650,1005,1319,1804,1931,560,1366,624,1112,899,1130,1067,953,643,847,341,949,326,399,400,700,420,330,297,3937,1485,1351,1106,952,325,328,353,727,1084,1013,1191,771,742,745,706,644,616,927,1147,859,495,121,616
"G04065000","2014","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",230502,110117,5169,4549,5964,3296,2305,678,1006,2799,8275,8643,5736,7309,7117,9324,8762,3453,3807,2935,4173,5107,4553,2473,2684,120385,4024,5266,4672,3449,726,1694,755,5274,7957,7283,7102,7444,6902,9511,11107,2636,5664,3812,5053,6704,5086,3139,5125,"Scottsdale city, Arizona",49,2772,1448,1152,1247,962,822,450,556,1234,1849,2010,1079,1904,1254,1497,1507,917,810,848,846,960,1014,588,624,2772,993,1136,1063,1045,358,1133,528,1526,1444,1637,1311,1759,1134,1577,1500,709,1130,982,1088,1161,1160,834,1044
"G04071510","2014","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",126278,58527,2976,5332,4296,1699,980,759,462,2389,2948,4335,4171,4325,3297,3111,2635,1380,1891,1609,1588,3396,2441,1279,1228,67751,4438,4045,5472,2023,1814,483,1132,1262,3629,4757,5079,4896,3605,3110,3923,1682,2623,1996,2690,3768,1980,2128,1216,"Surprise city, Arizona",40,2255,1034,1355,942,567,557,529,570,975,901,1214,1174,1039,972,953,923,610,711,523,482,816,619,423,482,2255,1200,891,1512,563,989,403,757,602,1212,1079,1319,1123,847,730,1130,690,885,561,727,829,508,692,546
"G04073000","2014","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",172836,94028,2054,3847,3808,2755,6945,5733,3134,13978,12695,7057,4860,3655,4164,3952,3474,1446,1918,1840,1850,1787,1651,780,645,78808,2766,3045,3139,2840,5808,3345,2795,7444,7668,4830,3092,4616,4329,4983,4298,1385,2429,1618,1726,2183,1429,1403,1637,"Tempe city, Arizona",78,3739,879,1216,1126,1108,1509,1551,967,2585,2366,1648,1176,1117,1123,971,843,464,620,776,577,606,571,401,361,3744,1129,1114,832,1079,1718,1173,996,1658,1636,1102,927,1269,959,1212,1119,450,782,435,599,688,460,561,607
"G04077000","2014","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",527948,263671,15680,15995,16013,10050,11193,6519,8644,18385,20154,21053,14452,17210,14602,15461,14064,6497,7632,4868,5520,7323,5199,3885,3272,264277,15159,15249,16327,8409,10692,7331,6337,18308,16858,18054,15345,13392,14431,16392,14943,6963,9879,5068,7351,8386,7390,5824,6189,"Tucson city, Arizona",105,2949,1582,1560,1973,1151,1405,1374,1915,2018,1466,1308,1623,1770,1220,1443,1830,1199,1080,819,976,1130,919,888,718,2943,1440,1619,1947,1172,1277,1522,1408,2235,1530,1339,1546,1500,1272,1281,1730,1110,1301,944,1183,1297,1093,804,1127
"G04085540","2014","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",93399,47677,3503,3888,3243,2466,1501,1080,804,3564,4213,4009,2323,2750,2274,2301,2218,544,1128,786,768,1509,1767,805,233,45722,2860,3143,3569,1428,1691,546,1266,1973,3813,3689,2322,2732,2460,1897,2654,951,1263,1001,716,2192,1394,1455,707,"Yuma city, Arizona",27,1551,1036,982,926,454,463,605,450,995,913,868,585,937,523,502,648,308,489,280,359,424,550,359,154,1551,759,812,792,517,401,394,574,522,784,692,651,745,504,573,686,348,491,394,290,475,380,649,301
"G05023290","2014","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",80614,39133,2142,1554,1462,945,3094,1481,2223,4850,3413,3059,2168,2354,1874,1841,2004,849,978,233,750,380,771,381,327,41481,2447,1769,2833,1528,3371,1151,1778,4550,4259,2564,2603,2046,1815,1701,1715,553,907,531,391,760,748,571,890,"Fayetteville city, Arkansas",34,1866,864,701,718,553,598,730,1009,1596,856,834,779,699,625,756,778,578,461,210,405,278,450,342,301,1873,824,588,1051,646,859,662,783,1202,864,794,835,661,561,583,539,366,323,357,287,419,399,372,378
"G05024550","2014","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",87362,43069,2986,3131,3703,1979,1236,1390,998,1559,2341,2633,3260,3058,1932,3841,2575,1001,1277,523,706,1119,819,483,519,44293,3163,2564,2536,2078,1269,520,513,2534,2473,2472,2633,4187,2293,2917,3009,944,1296,677,1285,1407,1087,1118,1318,"Fort Smith city, Arkansas",41,1344,868,806,901,505,604,695,374,433,667,775,795,958,517,949,632,495,508,302,392,409,362,268,308,1345,911,696,499,604,496,548,436,838,583,740,761,911,653,631,823,374,550,382,483,474,372,404,501
"G05035710","2014","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",72214,34707,2918,2398,2011,1003,1741,1500,357,1495,3064,2190,2379,1971,2233,2034,1519,390,1032,886,636,898,853,1019,180,37507,2231,3061,2186,906,2150,417,846,1964,2943,3030,2869,1523,2576,1847,1723,626,1306,656,693,1327,1070,753,804,"Jonesboro city, Arkansas",23,1338,765,757,719,518,716,620,346,665,753,628,744,810,426,482,580,309,529,515,368,457,389,483,183,1335,652,1096,775,517,755,351,450,659,673,792,1077,615,866,689,513,323,540,390,304,506,422,540,338
"G05041000","2014","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",197701,90249,6204,6738,5246,3554,2744,1105,1154,3754,8427,7137,5633,5351,4898,5686,6130,2194,3975,1896,2259,1743,2036,1289,1096,107452,6786,6582,6172,4697,1578,2304,775,5062,8957,7844,7115,6051,6522,7122,7695,3015,3334,2407,2847,3573,2305,1922,2787,"Little Rock city, Arkansas",40,2565,1299,1453,1115,848,737,794,524,913,1421,1192,1153,1234,1034,797,1019,622,909,611,656,457,601,520,592,2564,974,1461,1430,862,804,1043,432,1170,1303,1222,1448,1271,1115,1093,1335,926,666,544,721,971,647,900,704
"G05050450","2014","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",66813,33195,2553,3007,2656,1071,244,102,454,2102,2182,2213,2347,2441,2275,1753,2081,833,787,962,1024,992,458,450,208,33618,2916,2537,3003,670,436,346,0,1403,2571,2496,2543,1643,2287,2337,2016,505,1220,849,1208,512,679,778,663,"North Little Rock city, Arkansas",30,1879,845,1200,995,469,167,176,404,690,704,948,766,835,1012,646,718,475,466,576,485,470,373,379,193,1881,865,1152,1027,460,363,357,190,993,813,861,968,612,761,871,781,282,531,435,589,263,369,465,389
"G05066080","2014","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",78122,40599,4328,3732,2640,2643,898,543,718,1688,3333,2559,3625,1915,3008,2319,1376,981,741,605,615,900,759,277,396,37523,3222,3475,3160,1540,913,1605,315,626,2768,2198,3754,2681,1615,2040,2322,547,896,639,781,765,898,230,533,"Springdale city, Arkansas",2267,2021,1124,1139,750,937,635,423,632,681,640,648,1075,660,765,820,711,706,417,406,410,522,449,258,320,2095,805,1061,906,731,685,1224,269,314,926,645,1158,1041,769,712,713,356,539,409,379,345,625,181,336
"G06000562","2014","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",77661,37527,2659,1876,1934,1316,873,256,332,1268,2570,3024,2938,3198,3409,2597,2304,1177,1612,754,574,1653,365,377,461,40134,2001,2631,1593,1895,392,170,518,1616,2157,2534,3615,3209,3306,3418,2317,1520,1807,868,1048,1105,906,648,860,"Alameda city, California",34,1772,683,669,849,479,532,258,285,489,1137,1143,762,763,1032,685,626,464,608,322,355,552,230,252,316,1774,647,779,634,596,239,216,286,556,722,805,846,804,806,852,606,699,609,360,422,442,388,386,440
"G06000884","2014","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",85585,41586,2527,1590,2223,1250,1129,708,713,2295,4230,2957,2551,2730,3377,2743,3368,1144,946,840,857,1014,609,1105,680,43999,2127,2562,2113,1036,675,582,422,1741,2772,2958,3163,2809,3222,3433,3807,933,2514,1295,1558,1220,1055,1480,522,"Alhambra city, California",66,1672,715,528,609,498,505,553,392,745,986,988,830,727,849,704,831,574,427,429,341,394,301,508,373,1679,693,736,613,416,414,363,257,563,843,683,823,796,916,799,1062,328,674,698,672,418,428,547,277
"G06002000","2014","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",346961,171140,12147,11128,11631,8249,4109,2181,2414,9123,13749,12921,12418,12744,11134,11202,10594,4338,4838,3582,2501,3954,2971,1475,1737,175821,13417,10743,12019,7526,4484,2646,2759,8163,15725,12888,12424,11186,11760,12222,10466,4253,4691,2963,3056,4173,3601,2174,2482,"Anaheim city, California",140,4477,1976,1717,1737,1405,918,793,692,1634,2619,1711,1711,1703,1410,1822,1390,1215,979,945,678,1126,744,502,568,4483,1932,1879,1616,1551,819,793,937,1529,1889,1519,1811,1602,1423,1468,1378,955,1062,839,671,1118,872,675,834
"G06002252","2014","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",108953,54821,2981,3365,5447,3127,2778,780,827,1835,3734,4036,3563,2485,3205,4450,3756,1586,1745,873,930,1229,487,1033,569,54132,1789,5055,3134,2555,1904,682,944,2384,3257,2995,3999,3507,4270,4429,3055,1200,2162,988,1147,1587,1880,667,542,"Antioch city, California",82,2326,987,1451,1364,826,942,675,683,744,912,1000,948,712,979,903,901,797,728,477,461,543,318,619,427,2322,628,1116,1090,872,769,466,587,958,967,1023,1002,861,1132,1007,995,499,753,649,473,534,688,403,363
"G06002364","2014","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",71586,34208,2093,2383,2568,1412,1046,534,354,1528,1933,2759,1911,1940,2357,2138,2363,540,792,1289,731,1330,796,803,608,37378,2458,2915,2583,1580,688,315,932,1852,2685,2247,1604,2028,1846,2869,2466,879,959,775,1793,1479,741,436,1248,"Apple Valley town, California",41,1964,1092,993,904,620,475,424,274,660,797,899,710,762,852,707,847,388,407,466,351,628,357,521,404,1965,914,987,933,718,424,241,604,1007,842,891,684,746,686,841,901,479,461,414,618,592,428,279,618
"G06002553","2014","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",99903,47170,3619,3368,2521,1147,1286,231,533,2793,3469,3844,3817,1879,2932,3796,3295,1375,2112,652,646,1483,789,784,799,52733,4353,4087,2959,1551,664,325,1300,2562,3186,3922,2839,2495,3323,3204,3858,1086,1751,1268,1201,1736,1522,1607,1934,"Arden-Arcade CDP, California",7240,3988,1091,1112,884,625,544,203,328,824,1087,1135,1034,795,732,1109,855,545,788,276,360,578,333,403,420,4247,1516,1403,1005,637,328,269,702,823,815,1178,897,860,807,825,734,388,710,532,416,530,580,609,597
"G06003526","2014","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",368748,180907,16368,16306,14435,10296,5560,3253,2023,7662,15943,14451,13001,10524,10310,8730,9467,3568,5168,2862,2047,3792,2996,982,1163,187841,16527,15545,14725,9008,4823,2120,4386,8534,14536,12962,12855,10345,10516,10930,10210,4142,5695,2343,2688,5279,3531,2628,3513,"Bakersfield city, California",55,3551,1992,1916,1841,1373,1452,1136,733,1509,2000,1606,1918,1359,1282,1402,1574,940,992,794,675,735,810,375,488,3557,1902,2318,2389,1261,1002,939,1275,1331,1595,1328,1463,1637,1439,1275,1544,1029,1373,619,695,1133,885,809,808
