GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDCE001,AQDCE002,AQDCE003,AQDCE004,AQDCE005,AQDCE006,AQDCE007,AQDCE008,AQDCE009,AQDCE010,AQDCE011,AQDCE012,AQDCE013,AQDCE014,AQDCE015,AQDCE016,AQDCE017,AQDCE018,AQDCE019,AQDCE020,AQDCE021,AQDCE022,AQDCE023,AQDCE024,AQDCE025,AQDCE026,AQDCE027,NAME_M,AQDCM001,AQDCM002,AQDCM003,AQDCM004,AQDCM005,AQDCM006,AQDCM007,AQDCM008,AQDCM009,AQDCM010,AQDCM011,AQDCM012,AQDCM013,AQDCM014,AQDCM015,AQDCM016,AQDCM017,AQDCM018,AQDCM019,AQDCM020,AQDCM021,AQDCM022,AQDCM023,AQDCM024,AQDCM025,AQDCM026,AQDCM027
"G04027820","2022","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",35326,34919,394,0,345,524,109,398,60,171,281,0,447,146,532,302,918,2155,3259,7592,5241,7984,3227,719,0,115,407,"Glendale city, Arizona",3012,3049,290,228,320,545,183,394,99,214,270,228,470,242,410,408,555,942,1315,1689,1401,1908,1221,565,228,191,260
"G04028380","2022","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04044410","2022","AZ",,,"Arizona","04",,,"Maricopa city","44410",,,,,,,,,,,,,,,,"1600000US0444410","0444410","Maricopa city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2022","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",67677,65555,0,293,46,134,84,102,229,0,57,480,173,338,373,2221,472,2689,4417,15443,15331,16470,4948,778,403,74,2122,"Mesa city, Arizona",3859,3860,228,376,76,164,101,89,236,228,99,316,160,268,291,840,462,736,1173,2276,2046,2564,1237,651,439,120,909
"G04054050","2022","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peoria city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04055000","2022","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",259848,253257,1505,433,933,2775,765,1289,1597,1724,790,2753,1387,3840,4462,3867,4110,13279,16521,49597,46507,65752,20670,4793,2003,1905,6591,"Phoenix city, Arizona",8384,8496,833,292,615,1158,349,866,939,793,427,1003,554,1278,1709,1284,1413,2488,2550,4734,3884,4943,2804,1350,1181,797,1739
"G04058150","2022","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Queen Creek town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04064210","2022","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2022","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scottsdale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04071510","2022","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2022","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04077000","2022","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",109214,103126,909,202,933,932,434,550,319,869,2413,2413,2968,6445,5232,4622,6530,14510,10953,18244,10499,10547,1487,314,268,533,6088,"Tucson city, Arizona",4620,4491,748,256,596,445,387,282,289,608,918,852,900,1760,1362,1533,1639,2594,2122,2785,2222,1945,878,387,283,361,1860
"G04085540","2022","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05015190","2022","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05023290","2022","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",24777,23863,137,382,116,66,223,71,393,96,395,1400,1024,2015,2400,2205,2022,1675,1501,2723,2134,2089,641,155,0,0,914,"Fayetteville city, Arkansas",1975,1965,183,468,147,114,222,119,472,157,293,553,508,721,957,834,1075,759,691,721,992,1038,386,262,208,208,517
"G05024550","2022","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",17668,17258,85,83,0,323,386,390,322,540,1831,1889,2896,2006,1476,722,514,1528,1172,469,406,104,0,0,0,116,410,"Fort Smith city, Arkansas",2004,2039,145,117,208,337,350,275,293,375,885,800,1073,952,752,396,319,874,601,417,404,195,208,208,208,159,271
"G05035710","2022","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05041000","2022","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"1600000US0541000","0541000","Little Rock city, Arkansas",40220,38886,309,45,728,809,250,103,402,277,495,2925,1899,2869,3155,4644,3131,5184,3343,3140,2633,1242,412,0,358,533,1334,"Little Rock city, Arkansas",3237,3230,263,76,785,525,276,166,303,389,422,1255,1409,1163,1403,1383,1296,1745,1600,1257,1006,814,411,208,404,381,762
"G05060410","2022","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"1600000US0560410","0560410","Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05066080","2022","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"1600000US0566080","0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2022","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"1600000US0600562","0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2022","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"1600000US0600884","0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2022","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"1600000US0602000","0602000","Anaheim city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anaheim city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002252","2022","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"1600000US0602252","0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2022","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"1600000US0602364","0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2022","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"1600000US0602553","0602553","Arden-Arcade CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arden-Arcade CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06003526","2022","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"1600000US0603526","0603526","Bakersfield city, California",51934,50196,97,0,103,138,317,717,389,408,234,872,1018,1322,1885,1209,2309,6172,5263,9217,7275,8748,1616,550,23,314,1738,"Bakersfield city, California",3027,3052,112,218,169,120,263,519,380,267,156,559,515,645,892,595,770,1574,1300,1714,1770,1608,696,340,39,216,758
"G06003666","2022","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"1600000US0603666","0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2022","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"1600000US0604982","0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2022","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"1600000US0606000","0606000","Berkeley city, California",26919,26493,0,0,81,150,272,0,0,356,0,42,40,100,240,231,469,426,1537,2169,2279,6463,4791,3442,826,2579,426,"Berkeley city, California",2146,2112,218,218,101,244,288,218,218,278,218,72,65,118,208,275,456,325,585,823,687,1360,1192,1123,412,638,265
"G06008142","2022","CA",,,"California","06",,,"Brentwood city","08142",,,,,,,,,,,,,,,,"1600000US0608142","0608142","Brentwood city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brentwood city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008786","2022","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"1600000US0608786","0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2022","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"1600000US0608954","0608954","Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06010046","2022","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"1600000US0610046","0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2022","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"1600000US0611194","0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011390","2022","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"1600000US0611390","0611390","Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2022","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"1600000US0611530","0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011964","2022","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"1600000US0611964","0611964","Castro Valley CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castro Valley CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2022","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"1600000US0613014","0613014","Chico city, California",23707,23067,10,0,172,191,90,149,137,179,50,470,327,463,284,394,648,814,1736,5840,5653,3858,1105,58,0,439,640,"Chico city, California",1775,1936,18,218,197,223,134,193,131,212,84,338,195,296,339,272,518,464,723,1397,1406,1126,645,99,218,432,575
"G06013210","2022","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"1600000US0613210","0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2022","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"1600000US0613214","0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2022","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"1600000US0613392","0613392","Chula Vista city, California",35754,35290,0,0,321,181,63,86,248,0,76,339,123,232,163,0,321,337,311,2984,4532,9656,7253,5878,1072,1114,464,"Chula Vista city, California",3122,3088,218,218,508,230,110,70,329,218,127,444,107,233,267,218,385,272,290,1023,1293,1699,2048,2038,568,586,308
"G06013588","2022","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"1600000US0613588","0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2022","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"1600000US0614218","0614218","Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06015044","2022","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"1600000US0615044","0615044","Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016000","2022","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"1600000US0616000","0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2022","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"1600000US0616350","0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2022","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"1600000US0616532","0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2022","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"1600000US0617918","0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2022","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"1600000US0618100","0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2022","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"1600000US0619766","0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06020018","2022","CA",,,"California","06",,,"Dublin city","20018",,,,,,,,,,,,,,,,"1600000US0620018","0620018","Dublin city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dublin city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2022","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"1600000US0620802","0620802","East Los Angeles CDP, California",20327,19687,0,39,0,282,219,150,42,0,54,560,69,276,0,993,191,1180,1640,4225,3610,4207,1249,526,141,34,640,"East Los Angeles CDP, California",2041,2073,218,65,218,203,192,194,69,218,88,415,116,293,218,623,181,557,761,1073,1064,1147,536,422,188,56,366
"G06021230","2022","CA",,,"California","06",,,"Eastvale city","21230",,,,,,,,,,,,,,,,"1600000US0621230","0621230","Eastvale city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eastvale city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06021712","2022","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"1600000US0621712","0621712","El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022020","2022","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"1600000US0622020","0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2022","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"1600000US0622230","0622230","El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022804","2022","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"1600000US0622804","0622804","Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06023182","2022","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"1600000US0623182","0623182","Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2022","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"1600000US0624638","0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2022","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"1600000US0624680","0624680","Fontana city, California",18618,18337,0,0,0,317,190,111,0,84,0,221,0,298,375,0,284,359,428,3468,3032,5055,2540,1073,502,0,281,"Fontana city, California",2009,1943,218,218,218,277,150,182,218,100,218,351,218,271,322,218,322,277,361,915,1037,1274,863,556,471,218,264
"G06026000","2022","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"1600000US0626000","0626000","Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06027000","2022","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"1600000US0627000","0627000","Fresno city, California",90668,88277,273,716,576,1097,671,1036,689,1182,509,2389,947,2157,2089,2841,2871,9520,7904,19113,10991,14203,4531,214,945,813,2391,"Fresno city, California",4750,4790,336,602,423,548,458,556,483,661,435,905,591,930,1008,1141,950,2088,1716,3055,2044,2623,1725,209,683,305,961
"G06028000","2022","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"1600000US0628000","0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06029000","2022","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"1600000US0629000","0629000","Garden Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garden Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06030000","2022","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"1600000US0630000","0630000","Glendale city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glendale city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06032548","2022","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"1600000US0632548","0632548","Hawthorne city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawthorne city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
