GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALKVE001,ALKVE002,ALKVE003,ALKVE004,ALKVE005,ALKVE006,ALKVE007,ALKVE008,ALKVE009,ALKVE010,ALKVE011,ALKVE012,ALKVE013,ALKVE014,ALKVE015,ALKVE016,ALKVE017,ALKVE018,ALKVE019,ALKVE020,ALKVE021,ALKVE022,ALKVE023,ALKVE024,ALKVE025,ALKVE026,ALKVE027,NAME_M,ALKVM001,ALKVM002,ALKVM003,ALKVM004,ALKVM005,ALKVM006,ALKVM007,ALKVM008,ALKVM009,ALKVM010,ALKVM011,ALKVM012,ALKVM013,ALKVM014,ALKVM015,ALKVM016,ALKVM017,ALKVM018,ALKVM019,ALKVM020,ALKVM021,ALKVM022,ALKVM023,ALKVM024,ALKVM025,ALKVM026,ALKVM027
"G04007940","2019","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2019","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04012000","2019","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chandler city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04023620","2019","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2019","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027820","2019","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",33919,33305,0,328,207,421,349,439,311,220,444,1057,522,1449,960,2363,1587,5221,4863,5332,3792,2522,487,256,175,0,614,"Glendale city, Arizona",2435,2419,218,355,179,467,346,346,405,275,338,598,354,864,469,946,624,1386,1289,1260,1098,879,365,216,139,218,472
"G04028380","2019","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2019","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",69240,67272,84,415,260,182,76,588,245,537,799,631,2115,2139,1435,3645,2768,10747,9774,16417,7083,5904,845,53,0,530,1968,"Mesa city, Arizona",3721,4006,137,432,318,196,124,516,277,485,501,351,793,982,612,1029,946,1895,1703,2146,1550,1582,409,87,218,473,644
"G04054050","2019","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",16581,15893,53,0,0,117,0,53,0,0,343,45,397,0,301,108,646,1647,2142,3735,2476,2154,518,584,405,169,688,"Peoria city, Arizona",1987,2044,89,218,218,189,218,87,218,218,310,76,323,218,376,130,564,749,829,1065,858,897,353,460,316,164,474
"G04055000","2019","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",267225,260833,618,1363,1458,4279,897,1801,1108,3057,3909,5956,6860,12038,11013,12420,13183,36527,32042,57849,31439,18533,3106,680,371,326,6392,"Phoenix city, Arizona",6523,6179,395,828,669,1275,515,810,478,1039,1055,1487,1640,1923,1830,1907,2253,4121,2680,4477,2908,1994,924,541,245,342,1400
"G04064210","2019","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2019","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",40569,39068,24,53,0,0,139,351,0,0,125,256,0,141,308,392,1036,1454,3361,7700,9263,9355,2632,966,639,873,1501,"Scottsdale city, Arizona",3015,3040,38,91,218,218,230,466,218,218,209,248,218,135,219,432,704,918,1333,1530,1408,1547,911,547,400,782,527
"G04071510","2019","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2019","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04077000","2019","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",110477,105927,1881,838,896,975,1173,836,1428,3043,4149,5651,7635,10865,10217,7776,5844,11971,10208,12529,4940,1843,484,197,548,0,4550,"Tucson city, Arizona",4497,4250,888,592,775,517,642,460,577,843,1189,1365,1707,2046,1778,1623,1314,2236,2123,2235,1315,697,592,220,247,218,1046
"G04085540","2019","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",13782,13315,0,0,360,286,271,298,320,115,427,347,1089,1274,1774,401,594,2243,1252,1462,500,302,0,0,0,0,467,"Yuma city, Arizona",1939,1899,218,218,386,230,308,317,320,183,390,386,652,856,914,341,540,966,658,637,285,254,218,218,218,218,307
"G05015190","2019","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",14847,14348,45,0,212,0,0,760,584,0,953,1689,1076,2074,1909,925,799,934,705,965,234,484,0,0,0,0,499,"Conway city, Arkansas",1553,1568,87,206,301,206,206,658,556,206,897,829,573,833,1012,575,413,530,424,652,228,500,206,206,206,206,489
"G05023290","2019","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",22954,22341,128,0,213,0,126,481,505,985,1714,1298,749,2934,1036,2229,964,2366,2266,1514,743,1387,358,0,163,182,613,"Fayetteville city, Arkansas",1984,2018,159,206,354,206,153,534,495,593,966,711,395,1144,552,1132,590,1073,924,739,438,748,389,206,140,155,480
"G05024550","2019","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",18981,18007,0,264,70,572,263,888,604,1592,2997,2372,1325,2062,1400,860,526,1150,211,417,150,29,0,255,0,0,974,"Fort Smith city, Arkansas",1850,1954,206,409,115,493,409,585,419,717,1138,1064,729,788,617,739,453,711,285,300,185,47,206,384,206,206,634
"G05035710","2019","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",13843,13320,0,92,61,163,428,30,272,786,924,1583,1290,846,1761,357,1318,701,891,807,147,764,99,0,0,0,523,"Jonesboro city, Arkansas",1798,1820,206,114,112,160,503,58,234,507,686,1052,607,492,1044,300,914,498,482,661,191,608,150,206,206,206,460
"G05041000","2019","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",35309,34292,606,351,658,366,219,434,562,444,969,2680,2686,3628,4177,1803,2017,4780,1571,4111,959,732,54,64,317,104,1017,"Little Rock city, Arkansas",2632,2701,544,273,573,282,296,298,571,253,658,958,1088,1377,1377,713,769,1798,776,1440,513,426,97,108,496,124,478
"G05050450","2019","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",12963,12558,0,33,568,64,564,334,193,113,647,788,1467,1293,695,2335,968,1447,267,721,22,39,0,0,0,0,405,"North Little Rock city, Arkansas",1934,1924,206,57,451,107,392,331,159,116,424,645,912,776,530,1170,609,733,237,508,36,64,206,206,206,206,282
"G05060410","2019","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",9876,9237,0,78,111,341,150,151,385,678,425,724,429,426,654,171,564,1421,808,748,353,276,96,0,248,0,639,"Rogers city, Arkansas",1587,1518,206,129,165,408,166,148,309,489,360,464,292,341,326,144,355,637,392,456,249,277,116,206,412,206,454
"G05066080","2019","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2019","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2019","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2019","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",56731,56245,747,99,224,901,448,0,58,318,192,215,220,0,0,115,57,265,1368,6948,11708,20685,7057,3047,837,736,486,"Anaheim city, California",3047,3047,687,172,307,616,377,216,95,242,264,291,208,216,216,136,93,238,746,1570,1989,2437,1425,945,571,529,277
"G06002252","2019","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2019","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2019","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",25142,24907,119,50,624,129,0,118,0,341,149,126,369,36,487,492,384,1842,4378,8020,4053,2415,533,191,0,51,235,"Arden-Arcade CDP, California",2891,2864,143,80,598,214,216,192,216,488,125,150,305,58,431,340,361,916,1447,1728,1183,849,309,190,216,84,187
"G06003526","2019","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",47302,46711,89,0,468,270,315,83,50,827,701,554,1682,1962,3061,3271,3917,4411,4791,8294,6469,4272,436,90,625,73,591,"Bakersfield city, California",3110,3110,153,216,589,210,234,102,85,463,407,392,881,767,1056,1073,1385,1451,1349,1809,1646,1706,378,146,834,62,345
"G06003666","2019","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2019","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2019","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",26113,25872,0,230,252,414,555,222,232,144,97,297,135,209,198,466,319,1291,467,1954,1999,6030,5189,2076,1764,1332,241,"Berkeley city, California",2062,2066,216,366,259,316,444,224,319,239,98,294,225,145,169,380,272,601,296,695,678,1262,1047,686,549,606,172
"G06008786","2019","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2019","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06010046","2019","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2019","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011390","2019","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carmichael CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2019","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2019","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",20141,19912,0,11,388,359,314,7,206,271,73,138,326,521,1467,771,513,2964,2058,4043,2483,1886,754,183,0,176,229,"Chico city, California",1941,1915,216,20,416,299,267,12,240,288,122,105,287,396,858,393,317,887,643,1059,874,781,479,223,216,277,251
"G06013210","2019","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2019","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2019","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",33190,32287,0,0,57,453,176,196,55,41,343,176,19,0,38,217,194,607,958,3296,7174,8431,7517,1602,614,123,903,"Chula Vista city, California",3427,3365,216,216,70,364,174,169,94,68,345,298,31,216,63,217,221,481,620,1092,1557,1663,2438,711,443,120,547
"G06013588","2019","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2019","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06015044","2019","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016000","2019","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2019","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2019","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2019","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2019","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2019","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2019","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",19107,18689,60,0,81,277,243,328,0,155,109,392,84,399,118,272,650,1995,1658,5299,3107,2757,424,200,0,81,418,"East Los Angeles CDP, California",1649,1642,99,216,96,320,178,279,216,178,180,309,97,350,141,259,461,667,565,915,835,763,330,205,216,101,313
"G06021712","2019","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022020","2019","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2019","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06022804","2019","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",26194,25923,332,53,0,274,46,138,75,311,43,185,157,0,237,619,53,423,1111,4895,5123,8553,2389,129,49,728,271,"Escondido city, California",2357,2328,533,88,216,190,77,136,125,306,66,241,258,216,248,516,85,325,530,1318,1131,1656,817,129,80,695,208
"G06023182","2019","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024477","2019","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2019","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2019","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fontana city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06026000","2019","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06027000","2019","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",92820,90138,1271,1219,210,768,1810,1292,749,1536,1721,3360,1639,3898,5769,5557,5076,12460,9776,14718,8221,6148,1154,788,601,397,2682,"Fresno city, California",4074,3907,802,677,222,494,864,775,422,786,724,1087,693,1021,1604,1344,1311,1865,1781,2100,1716,1745,688,461,266,362,780
"G06028000","2019","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06029000","2019","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garden Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06030000","2019","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",50179,48709,0,37,285,119,39,346,240,332,486,201,529,195,0,150,164,1331,894,6775,8557,16489,6982,3111,842,605,1470,"Glendale city, California",2590,2620,216,62,283,138,65,370,247,361,540,246,465,189,216,175,175,782,470,1307,1457,1944,1564,946,565,318,702
"G06032548","2019","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawthorne city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06033000","2019","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hayward city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06033182","2019","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hemet city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
