GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKRSE001,AKRSE002,AKRSE003,AKRSE004,AKRSE005,AKRSE006,AKRSE007,AKRSE008,AKRSE009,AKRSE010,AKRSE011,AKRSE012,AKRSE013,AKRSE014,AKRSE015,AKRSE016,AKRSE017,AKRSE018,AKRSE019,AKRSE020,AKRSE021,AKRSE022,AKRSE023,AKRSE024,AKRSE025,AKRSE026,AKRSE027,AKRSE028,AKRSE029,AKRSE030,AKRSE031,AKRSE032,AKRSE033,AKRSE034,AKRSE035,AKRSE036,AKRSE037,AKRSE038,AKRSE039,AKRSE040,AKRSE041,AKRSE042,AKRSE043,AKRSE044,AKRSE045,AKRSE046,AKRSE047,AKRSE048,AKRSE049,NAME_M,AKRSM001,AKRSM002,AKRSM003,AKRSM004,AKRSM005,AKRSM006,AKRSM007,AKRSM008,AKRSM009,AKRSM010,AKRSM011,AKRSM012,AKRSM013,AKRSM014,AKRSM015,AKRSM016,AKRSM017,AKRSM018,AKRSM019,AKRSM020,AKRSM021,AKRSM022,AKRSM023,AKRSM024,AKRSM025,AKRSM026,AKRSM027,AKRSM028,AKRSM029,AKRSM030,AKRSM031,AKRSM032,AKRSM033,AKRSM034,AKRSM035,AKRSM036,AKRSM037,AKRSM038,AKRSM039,AKRSM040,AKRSM041,AKRSM042,AKRSM043,AKRSM044,AKRSM045,AKRSM046,AKRSM047,AKRSM048,AKRSM049
"G0100830","2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",98915,48960,3042,2678,3222,2225,713,649,294,2160,3402,2758,3119,3755,4078,3346,3353,1300,1563,1265,1118,2239,1190,991,500,49955,2894,2863,3134,2349,2238,892,496,625,2780,3346,2780,3446,2973,3763,2731,1051,2617,1555,1025,2542,1412,1649,794,"Limestone County, Alabama",0,862,608,636,717,512,536,586,271,745,1072,391,1143,1044,973,526,703,692,580,545,411,624,376,540,297,862,568,822,690,707,892,560,383,345,353,688,750,850,258,500,677,553,803,844,410,536,628,542,474
"G0100890","2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",372909,181052,10651,11002,12022,6629,5081,3214,2560,6866,13479,13201,14084,8849,10908,11908,12716,4889,7667,3629,4912,6969,3864,3059,2893,191857,11209,9322,13643,6238,5290,1934,2985,7127,13007,12993,13646,9477,12214,13174,13608,5461,7965,3589,5312,9283,5988,4416,3976,"Madison County, Alabama",0,602,462,1677,1694,284,329,957,862,1049,530,525,1627,1449,559,261,1646,999,1523,725,933,1040,752,749,617,602,470,1636,1651,315,1080,708,1129,1217,536,554,1521,1476,561,558,1570,1073,1426,963,1211,1419,1084,795,762
"G0100950","2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",96774,46375,2392,3024,3472,1916,833,204,953,1935,3075,3046,2481,3578,2885,2907,2988,1170,2206,965,1404,2217,1706,587,431,50399,4449,3300,2991,2791,1166,438,455,1699,2902,3076,2670,2678,2978,3238,3035,1352,1754,886,1986,2335,1442,1553,1225,"Marshall County, Alabama",0,357,327,680,690,363,54,142,429,448,121,584,774,962,346,304,548,452,610,404,497,569,382,264,251,357,217,865,727,370,330,304,285,472,196,341,564,515,236,301,543,476,480,389,629,578,519,501,367
"G0100970","2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",413210,196310,13469,11570,15031,8304,5428,2152,2897,7720,15102,13180,10879,12329,11593,11111,12582,5360,7900,5463,5806,7616,4985,3497,2336,216900,13975,13459,12786,7748,4900,2836,3028,7454,14980,15253,11089,14993,12481,13875,14793,5620,9324,5108,6377,10106,6531,5331,4853,"Mobile County, Alabama",0,1468,545,1808,1671,459,536,926,1169,1294,808,780,1375,1430,563,247,1559,1077,1364,991,994,1128,773,721,634,1468,948,1542,1575,378,232,923,884,981,333,999,1620,1704,371,964,1353,1058,1181,1097,1125,1274,860,918,881
"G0101010","2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226486,106829,7524,6489,9095,4298,3432,1424,1481,4417,8217,7973,6117,7148,6116,5919,5367,2726,4335,2447,3011,3910,3399,1073,911,119657,6880,8040,6392,4283,3222,1203,1471,5525,8552,8162,6751,8637,7562,6727,8032,3431,3932,3399,3890,4563,4178,2538,2287,"Montgomery County, Alabama",0,652,784,1328,1433,342,418,600,678,680,296,431,1166,1077,259,205,1105,731,912,585,624,639,530,412,412,652,187,1151,1114,436,546,710,959,1180,195,324,1197,1252,453,167,937,779,794,796,900,865,597,634,571
"G0101030","2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119679,58883,3595,3911,3732,2913,1586,601,411,2540,3286,2778,3217,3695,4394,4650,4097,1397,2574,1060,1807,2369,2114,1263,893,60796,3760,2919,3137,3015,1223,516,722,2636,3049,2646,4168,4256,4435,3813,3742,1985,2604,1344,2724,2747,2229,1585,1541,"Morgan County, Alabama",0,1411,722,1043,913,833,570,337,484,459,484,363,759,1011,762,709,919,511,877,338,598,544,846,361,398,1411,792,671,857,835,383,318,400,636,305,210,944,1132,785,333,671,733,840,474,571,634,615,603,626
"G0101150","2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",89512,43256,2289,2169,3440,1910,1140,324,474,1060,3439,3478,2717,2753,2599,3231,2761,1084,2004,1573,1067,1388,1068,568,720,46256,2716,3464,2223,1965,712,999,726,1040,2426,3093,2924,2910,2907,2965,4619,900,1632,1373,1776,1678,1193,1696,319,"St. Clair County, Alabama",0,1541,234,604,724,1422,684,393,476,504,584,678,810,783,75,385,748,525,596,512,396,519,479,367,438,1541,736,1058,918,759,73,1052,504,561,206,720,945,735,343,297,1059,407,626,473,739,529,411,384,261
"G0101170","2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",217702,105158,5672,6602,8542,4354,2445,1304,1250,3884,6036,7056,7533,7559,6925,6843,7455,2584,3244,2389,2651,5272,2315,2018,1225,112544,6016,6662,7664,4737,2711,1479,1022,4137,6356,7839,7350,7477,7986,7400,8069,2667,3604,2529,3854,5342,2978,3154,1511,"Shelby County, Alabama",0,886,576,1153,1273,535,401,672,642,713,584,977,1270,1315,544,572,1047,749,814,639,595,940,524,549,564,886,563,871,937,789,498,686,455,825,335,991,1099,1326,512,311,923,699,735,739,798,815,589,802,674
"G0101210","2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",79978,39620,2672,1966,3356,1828,1078,1221,505,550,2489,2797,2195,1955,2799,2322,2546,877,1882,562,1264,1960,684,1681,431,40358,1904,1673,2248,1368,1451,387,420,1830,2325,1888,2210,3276,2748,2609,2686,1062,2244,1889,1538,1483,1180,1388,551,"Talladega County, Alabama",0,999,665,975,948,845,461,559,318,312,462,608,697,590,354,395,694,451,649,449,487,599,329,624,271,999,408,720,618,554,522,434,336,592,462,297,889,836,116,206,628,425,606,609,538,483,383,438,228
"G0101250","2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",209355,100902,5864,4738,7605,4014,6214,2430,3639,4518,8578,6532,6445,5255,6053,5122,5266,2450,3599,1604,2906,3765,2546,889,870,108453,6416,7248,4273,3837,8193,3139,2172,3466,8282,6845,5923,7518,6622,5940,6448,2492,3366,1758,3819,3987,3295,1843,1571,"Tuscaloosa County, Alabama",0,1456,274,1066,1394,651,1275,1311,1627,1477,664,175,969,1049,380,206,928,757,733,505,847,713,492,350,409,1456,663,1166,1018,885,1254,1371,1011,1088,348,177,1313,1428,433,227,1061,816,757,719,904,866,724,585,543
"G0101270","2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",63521,31486,2067,2031,2142,1521,594,613,296,798,2090,1569,2082,1181,1896,2745,1831,1261,1460,570,1102,1582,897,686,472,32035,1507,1499,2069,1355,431,283,278,1460,1819,1581,1828,2085,2023,2105,2614,873,1522,618,1158,2013,961,813,1140,"Walker County, Alabama",0,607,510,559,546,262,206,270,228,327,370,206,506,491,206,416,523,474,641,314,433,468,372,280,235,607,206,538,734,263,284,210,228,402,206,206,615,767,181,194,620,360,563,319,378,416,407,396,428
"G0200200","2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",288000,144557,8778,11758,8241,5739,4619,1384,2721,6973,12139,12698,10030,9004,7928,9550,9682,3574,4812,2363,3261,4718,1827,1737,1021,143443,10950,9144,10332,4255,3612,1465,1190,6378,12634,12260,10373,8421,7803,8603,8827,3313,5994,2445,2939,5831,3850,1838,986,"Anchorage Municipality, Alaska",0,1509,985,1143,1327,628,925,742,888,927,746,1736,1552,1351,777,1213,1366,911,971,653,981,1031,462,448,456,1509,988,1512,1547,753,862,645,552,1286,1410,666,1508,1423,619,995,1499,969,1159,910,881,1122,776,700,360
"G0200900","2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",96849,53163,3426,3722,3693,1936,1997,1541,1614,3220,5311,3993,2818,3141,2891,2703,2235,1376,1601,1296,1610,1531,900,371,237,43686,3303,3261,2337,1326,1173,184,1176,1660,3836,3046,3452,3248,3131,2133,2977,840,1598,888,1299,1098,957,415,348,"Fairbanks North Star Borough, Alaska",0,859,617,1085,1041,478,824,700,645,1049,821,660,773,778,482,828,723,640,673,934,715,600,320,284,205,859,540,704,712,275,560,197,579,557,663,393,1105,1199,855,277,649,524,712,402,499,397,405,375,291
"G0201700","2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",108317,56434,4034,4361,4298,2291,1452,959,590,2141,3492,4050,4258,2925,3772,3601,3668,1433,2338,1265,1921,1491,1032,796,266,51883,3221,4261,3734,2387,1420,679,406,1658,3456,3701,3155,3799,3109,3267,3761,1098,1945,1027,2217,1422,785,642,733,"Matanuska-Susitna Borough, Alaska",0,481,324,497,513,154,364,428,361,543,353,468,697,478,462,361,521,391,502,404,399,399,326,297,181,481,317,517,505,208,337,321,246,421,197,266,541,549,263,299,424,370,422,329,367,337,252,343,267
"G0400010","2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",71887,36435,2654,2349,3405,1723,1300,534,293,1333,2466,2385,2018,1755,1814,2587,1793,837,1756,527,951,1882,1208,406,459,35452,1904,2789,2684,1592,1016,637,554,865,2508,1957,1529,1851,1885,2000,3112,797,1602,967,832,1951,1232,705,483,"Apache County, Arizona",0,626,630,665,714,256,411,232,162,264,210,213,576,640,276,644,567,375,465,258,525,370,423,236,330,626,176,907,395,151,137,382,303,418,483,242,512,493,264,309,681,353,493,294,312,583,350,231,172
"G0400030","2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",125922,64204,3494,4374,3553,2147,1803,1075,755,2377,4216,3977,4276,3232,3074,3545,4077,1047,3122,2155,2012,3998,2977,1786,1132,61718,3361,3577,3884,2613,861,99,730,2786,3841,3433,2582,4098,3012,3493,3648,2263,2558,1482,2199,4480,2492,1967,2259,"Cochise County, Arizona",0,969,301,752,788,531,530,339,406,740,235,226,744,719,214,324,896,413,692,634,715,792,601,591,496,969,181,1030,1053,494,304,109,609,981,606,339,703,816,250,207,738,632,591,507,557,593,614,576,558
"G0400050","2019","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",143476,71036,3368,4866,3851,2877,5841,2335,1594,3615,6584,4569,4496,3099,3283,3874,4851,1102,2236,879,1577,3055,1559,1078,447,72440,3532,2883,4778,1850,6588,3500,3015,4301,4815,4029,4139,3549,3559,3529,4241,1722,2419,1523,2071,2785,2118,944,550,"Coconino County, Arizona",0,1057,348,864,792,627,1452,850,587,973,887,629,1132,843,295,571,914,534,683,357,502,504,429,369,225,1057,570,788,718,353,714,1175,971,1079,387,451,777,681,418,383,861,557,740,538,619,671,368,309,267
"G0400130","2019","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4485414,2217116,140990,141728,161892,92101,61111,30375,28702,92858,173671,161912,146461,146098,140695,133649,129358,51107,70509,39902,57243,87896,60980,39988,27890,2268298,135129,141982,150472,88145,58113,28732,28509,87499,167245,155854,145528,145727,144636,136923,142070,54130,75036,45964,70820,100489,70237,50551,44507,"Maricopa County, Arizona",0,479,244,4684,4684,273,430,3306,3223,4576,451,289,5161,5143,360,271,4263,3382,4015,3187,3199,3707,2658,2594,2530,479,245,5391,5372,114,226,3299,2839,4037,270,550,4898,4870,344,351,5082,3406,3810,2903,3356,3623,3519,3261,2987
"G0400150","2019","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",212181,106919,4597,4882,5520,2755,1746,1481,1274,2255,5884,4947,5775,4382,5867,5934,6150,4898,5985,4439,5956,8138,7501,4698,1855,105262,4400,4334,5682,3435,2445,438,725,3001,4804,4474,5229,3895,5257,5798,7099,4452,6554,3578,6427,8630,6946,4489,3170,"Mohave County, Arizona",0,934,465,1029,1049,520,532,763,682,794,999,865,1203,1055,949,355,1021,1097,1220,1123,1001,1196,1210,1008,754,934,409,1091,930,672,779,348,409,843,618,563,1054,838,971,666,1147,1064,1138,1039,1006,1119,1162,1039,931
"G0400170","2019","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",110924,54994,3637,4112,4358,2206,1438,507,953,1617,3782,2964,3314,3397,2914,2897,3306,1545,2299,1381,2000,2762,1740,1199,666,55930,3811,4003,4658,2337,1040,260,544,1957,3639,2408,2848,3469,2996,3202,4421,1556,1969,1353,2359,2848,1818,1716,718,"Navajo County, Arizona",0,663,315,786,912,109,407,367,597,451,748,157,781,591,347,353,701,530,567,480,538,499,368,393,333,663,316,717,804,363,249,185,392,418,577,437,691,922,473,459,724,584,550,394,485,523,390,414,315
"G0400190","2019","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",1047279,516110,29248,28270,33929,19087,16124,9574,9061,26587,39349,32228,33248,26907,27988,27102,31436,10922,18436,13364,17605,24323,18450,13364,9508,531169,27865,32329,27385,17493,16322,10832,9648,23076,35442,28866,29987,30162,29184,28267,32195,15135,20999,14307,20154,30121,22414,15427,13559,"Pima County, Arizona",0,495,240,2195,2174,406,801,2378,2019,2642,544,323,2502,2508,2,2,2039,1517,1963,1721,1509,1643,1606,1596,1290,495,99,2534,2534,407,772,2241,2119,2056,3,3,2257,2255,536,529,2120,1806,2134,1560,1985,1976,1487,1367,1147
"G0400210","2019","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",462789,241369,12898,12434,17937,9174,6477,2811,3037,8056,17782,16965,17575,15691,14392,13257,14537,5300,7276,6021,8316,12002,10593,4255,4583,221420,12592,15695,13957,7886,5375,2132,2077,6233,12581,13390,15263,12457,11983,11293,14614,5605,8391,5716,10053,14409,10554,5347,3817,"Pinal County, Arizona",0,889,652,1837,1803,499,1435,1149,975,1600,1062,1007,1821,1828,697,988,1598,1359,1392,1199,1522,1258,1317,866,1113,889,648,1984,2041,607,623,1012,1002,1142,676,767,1640,1757,621,554,1364,1064,1400,1068,1265,1494,1275,1182,1111
"G0400250","2019","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",235099,115634,4981,5878,4909,4040,3457,2146,1167,2581,4673,5285,4885,5244,6189,5770,8100,4480,5297,4392,6966,10745,7385,4013,3051,119465,4240,4521,5736,2862,2491,932,690,2527,5381,4378,4913,5923,6601,5753,8780,5720,7439,4770,7816,12036,7863,4103,3990,"Yavapai County, Arizona",0,813,202,1214,1230,367,1003,870,622,758,484,226,1229,1269,813,655,1237,1176,1189,925,1155,1353,1262,1127,841,813,63,1052,1034,451,688,614,370,836,696,528,1413,1013,1114,320,1285,1199,1170,1101,1327,1386,1183,982,1063
"G0400270","2019","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",213787,110189,7557,7491,7850,4188,3236,1199,1618,7454,8713,7797,6839,5594,5058,5675,4680,2555,3364,1916,2652,4670,4793,3612,1678,103598,7542,6807,7700,4436,3081,2254,1215,3072,6776,6741,5558,4976,5502,5454,5780,2253,2964,2268,3049,5265,5131,3254,2520,"Yuma County, Arizona",0,591,264,1879,1953,238,563,836,1027,1346,374,362,1411,1505,331,567,841,845,917,702,590,675,1008,861,596,591,314,1352,1335,310,316,1171,677,1071,160,252,1276,1311,197,242,809,738,712,546,641,685,845,708,664
"G0500070","2019","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",279141,138732,9770,12653,8872,6632,3555,1333,1342,5357,10606,10055,9499,11211,8775,7867,8327,2475,3497,2539,3669,3873,3495,1834,1496,140409,8506,10708,10207,5910,3087,1180,1051,5775,9418,11044,10871,8743,9194,7961,7973,4083,3419,2273,4802,5225,3827,2607,2545,"Benton County, Arkansas",0,889,488,1429,1195,636,478,710,525,774,607,739,1385,1146,417,291,879,577,755,732,808,759,600,522,558,889,381,1352,1210,283,317,617,488,811,505,673,1242,1162,580,383,1153,821,839,526,991,930,744,589,710
"G0500310","2019","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",110332,53780,4143,3985,3455,2245,1737,1040,298,3413,5217,3179,3114,4195,3137,2997,3685,362,1399,799,1270,1591,879,1128,512,56552,3068,3350,4070,1820,2197,700,764,2234,3971,4040,5074,3303,3175,3987,2770,1256,2071,946,1109,2369,1965,1478,835,"Craighead County, Arkansas",0,1086,592,576,587,590,1023,545,301,1113,1543,324,757,1055,438,568,616,249,495,369,470,467,410,435,258,1086,587,852,867,402,1211,362,515,752,838,789,1411,677,555,986,738,517,772,390,503,603,603,521,486
"G0500450","2019","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",126007,60876,3168,4301,4842,2393,2207,2189,1165,4460,4017,4002,4920,3193,3551,3205,3790,1079,1569,767,1201,2412,1680,432,333,65131,3450,3738,4203,2474,3052,2337,1469,3875,4504,3970,5216,3648,3672,3135,3825,1307,1971,1277,2507,2021,1794,988,698,"Faulkner County, Arkansas",0,889,294,814,1071,319,659,1050,660,1039,468,457,934,1007,462,254,696,467,485,341,374,505,403,284,241,889,544,759,1025,459,567,851,766,997,683,534,866,865,494,191,849,530,536,413,888,502,385,387,364
