GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APJME001,APJME002,APJME003,APJME004,APJME005,APJME006,APJME007,APJME008,APJME009,APJME010,APJME011,APJME012,APJME013,APJME014,APJME015,APJME016,APJME017,APJME018,APJME019,APJME020,APJME021,APJME022,APJME023,APJME024,APJME025,APJME026,APJME027,APJME028,APJME029,APJME030,APJME031,APJME032,APJME033,APJME034,APJME035,APJME036,APJME037,APJME038,APJME039,APJME040,APJME041,APJME042,APJME043,APJME044,APJME045,APJME046,APJME047,APJME048,APJME049,NAME_M,APJMM001,APJMM002,APJMM003,APJMM004,APJMM005,APJMM006,APJMM007,APJMM008,APJMM009,APJMM010,APJMM011,APJMM012,APJMM013,APJMM014,APJMM015,APJMM016,APJMM017,APJMM018,APJMM019,APJMM020,APJMM021,APJMM022,APJMM023,APJMM024,APJMM025,APJMM026,APJMM027,APJMM028,APJMM029,APJMM030,APJMM031,APJMM032,APJMM033,APJMM034,APJMM035,APJMM036,APJMM037,APJMM038,APJMM039,APJMM040,APJMM041,APJMM042,APJMM043,APJMM044,APJMM045,APJMM046,APJMM047,APJMM048,APJMM049
"G0100970","2022","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"0500000US01097","01097","Mobile County, Alabama",411411,197023,13066,12485,14526,8183,5118,3753,2478,7050,13598,14146,11979,12039,10900,11541,12205,4431,8014,4523,6419,8852,6210,2630,2877,214388,12425,12607,13047,8640,4708,3453,1966,8196,14695,14996,13493,12910,12412,12710,12730,5724,9603,6149,6614,10184,8431,4018,4677,"Mobile County, Alabama",,541,518,2014,2038,299,273,1002,819,990,310,529,1583,1610,530,439,1416,872,1217,903,1051,1171,765,730,699,541,443,1454,1469,517,301,1129,696,1176,498,382,1574,1645,374,409,1276,1193,1273,1044,816,1021,1013,810,949
"G0101010","2022","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"0500000US01101","01101","Montgomery County, Alabama",226361,107059,7497,7697,7601,5052,2935,1530,1782,4937,7774,8246,7591,5297,5358,5854,7219,2592,2881,2517,2613,4398,2864,1764,1060,119302,7727,6921,6999,4031,3398,1068,1138,5207,7982,9708,5983,8613,6616,7201,5929,3640,5803,2939,4704,4747,3836,2404,2708,"Montgomery County, Alabama",,798,769,1470,1514,638,427,747,830,938,576,639,1387,1395,361,217,962,601,757,687,753,891,821,672,550,798,358,1496,1623,297,1163,697,776,1551,345,674,1083,1075,255,346,1079,929,1129,1008,1057,1023,669,650,790
"G0101030","2022","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"0500000US01103","01103","Morgan County, Alabama",124211,61086,3328,4301,4398,2298,1122,1967,354,2180,3446,3353,3824,3936,4219,3973,4028,1866,2249,1871,2264,2234,1769,1374,732,63125,3461,4151,3551,2750,1480,1310,407,1916,3717,3362,3870,3816,3965,3890,4924,1393,2508,1487,2401,3370,2580,1408,1408,"Morgan County, Alabama",,786,710,602,681,439,185,770,232,561,519,576,837,893,643,600,622,753,549,619,612,501,419,427,281,786,578,978,838,515,743,537,359,764,643,450,1027,960,572,373,748,524,786,650,690,679,514,427,501
"G0101150","2022","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"0500000US01115","01115","St. Clair County, Alabama",93932,46470,2795,2495,3861,1866,1136,452,674,1246,2867,2931,3140,3255,2914,3410,3285,648,2161,1196,1178,2224,1360,896,480,47462,2082,3265,2412,2014,606,963,844,1054,2384,3415,2588,3324,3495,2859,3250,883,2078,989,2183,2527,2144,1401,702,"St. Clair County, Alabama",,396,128,485,454,197,379,310,501,516,292,224,932,1033,360,420,756,417,696,467,438,524,372,276,277,396,169,692,610,330,339,493,375,601,226,503,796,766,433,125,743,436,602,325,753,593,482,537,342
"G0101170","2022","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"0500000US01117","01117","Shelby County, Alabama",230115,111938,6110,7665,6923,4981,3007,1315,717,5278,6180,6821,7855,7837,7870,7781,7928,1971,4205,2339,4010,4834,3163,2077,1071,118177,5638,7125,8089,4516,3362,1243,1167,4724,6216,6995,7356,8958,7753,8132,8717,2513,3738,2527,4529,5337,4519,3012,2011,"Shelby County, Alabama",,898,728,1167,1181,374,549,868,497,991,508,668,1323,1383,964,278,899,509,800,559,887,971,616,652,525,898,728,1137,1092,466,550,672,492,931,651,268,1444,1353,315,333,1140,787,826,725,737,941,869,1038,767
"G0101210","2022","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"0500000US01121","01121","Talladega County, Alabama",80704,37822,2135,2186,1388,1320,648,439,440,1672,2455,2674,2589,2114,2675,2759,2715,1010,1625,876,1695,1960,968,942,537,42882,2004,3504,2089,1825,835,53,90,1648,2916,3315,2620,2280,1994,3095,2193,1782,2002,705,2183,2125,1554,905,1165,"Talladega County, Alabama",,897,605,652,546,309,557,368,353,667,528,208,772,634,469,208,604,378,650,398,521,584,304,377,311,897,605,814,875,449,619,80,159,585,585,1108,953,1025,470,881,716,726,652,337,531,571,434,334,494
"G0101250","2022","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"0500000US01125","01125","Tuscaloosa County, Alabama",236780,112317,6110,5909,7618,3855,7940,2806,4130,7244,7351,7778,5834,7221,5924,6212,5915,3070,2997,2284,3501,3766,2657,1034,1161,124463,6551,6347,7315,3783,9948,5025,3536,5695,8150,8675,7423,7077,6516,6609,5743,2970,3998,3193,3854,4276,3662,1664,2453,"Tuscaloosa County, Alabama",,1068,364,997,1000,173,672,1662,1790,1662,850,415,1181,1400,148,176,1068,899,950,546,777,859,557,451,384,1068,434,972,961,143,2965,1800,1437,1666,525,428,1331,1184,244,260,1036,839,885,976,906,885,784,581,615
"G0200200","2022","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"0500000US02020","02020","Anchorage Municipality, Alaska",287145,145797,8682,10219,9523,4588,3499,2166,1720,7872,12708,12223,12590,9430,8401,8305,9434,3984,3449,3112,3829,4688,3328,1134,913,141348,9633,9698,9344,5822,2855,2469,1065,5317,10272,12351,11006,10233,7833,8097,8126,2572,5059,2633,4903,5193,3051,2480,1336,"Anchorage Municipality, Alaska",,1151,523,1537,1385,749,754,906,659,1134,751,687,1852,1494,883,928,1214,1063,800,874,999,911,442,495,395,1151,552,1553,1489,853,697,822,572,931,1049,770,1525,1383,832,655,1080,759,1243,703,1074,1005,761,772,635
"G0200900","2022","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"0500000US02090","02090","Fairbanks North Star Borough, Alaska",95356,52872,3464,3199,3334,1972,1276,582,826,4526,5781,5077,4316,2316,1983,2459,2095,1775,1624,736,1850,1787,687,1113,94,42484,3142,2613,2347,1582,664,530,610,2809,3432,4215,3353,2583,2110,2512,3028,538,1187,339,1528,1283,596,1112,371,"Fairbanks North Star Borough, Alaska",,1272,1175,1072,852,549,632,408,416,1097,822,860,952,780,209,402,736,773,752,468,826,738,495,537,86,1272,530,587,601,509,465,393,677,977,567,649,1005,802,456,536,813,455,596,291,435,467,322,453,318
"G0201700","2022","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"0500000US02170","02170","Matanuska-Susitna Borough, Alaska",113325,59378,3699,3852,4975,2538,1816,888,786,1674,4005,4320,3632,5057,3742,3714,3097,1232,2789,1255,2222,1825,1222,871,167,53947,3258,4302,3914,2564,1254,400,756,1648,3173,4014,3750,4025,2993,3184,3305,1165,2346,1660,1735,1940,1230,786,545,"Matanuska-Susitna Borough, Alaska",,571,328,622,631,197,419,505,369,513,397,486,546,549,329,286,455,412,556,424,657,554,334,320,122,571,357,603,615,228,221,229,335,395,255,470,579,587,226,249,507,390,523,490,481,499,321,270,291
"G0400010","2022","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"0500000US04001","04001","Apache County, Arizona",65432,32379,1910,1959,3054,1554,1047,752,614,1014,2331,1998,2294,1750,1541,1604,1585,917,1510,925,867,1453,1105,443,152,33053,1866,2622,2544,1452,913,478,485,1289,2143,1939,1914,1976,1549,1563,1916,948,1379,903,850,1915,1045,573,791,"Apache County, Arizona",,432,332,360,470,174,213,263,256,475,415,199,472,447,260,277,375,292,383,328,384,436,367,317,86,432,321,412,372,160,159,205,265,344,472,294,579,482,250,133,370,347,313,272,326,336,318,205,290
"G0400030","2022","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"0500000US04003","04003","Cochise County, Arizona",125663,64013,3117,3792,4257,2647,1908,1113,961,1726,4656,4019,3057,4411,3164,3009,3258,1885,2310,1275,2763,4311,3693,1654,1027,61650,3040,2381,4669,2187,983,897,494,2403,2478,4041,2676,4376,3243,3344,4178,1353,3063,2053,2158,4636,3755,2082,1160,"Cochise County, Arizona",,613,163,684,711,299,647,690,505,632,543,276,667,730,261,150,760,581,867,580,722,727,657,677,528,613,260,652,712,136,274,505,369,767,528,503,685,862,580,598,823,509,798,635,734,822,628,677,408
"G0400050","2022","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"0500000US04005","04005","Coconino County, Arizona",144060,70586,3400,4590,3417,1840,4061,1876,2423,4736,5654,5177,4589,3848,3732,3521,3469,1964,2780,1099,1993,3218,1748,950,501,73474,3409,3678,4489,3036,5222,3082,2783,4218,4916,4968,4418,3132,3388,3802,3114,1469,3321,1115,3124,2666,2262,1064,798,"Coconino County, Arizona",,761,368,604,617,459,584,685,689,989,961,558,1014,753,580,346,763,693,813,521,471,502,447,395,261,761,392,639,693,458,1387,1066,962,1263,452,511,948,837,437,455,584,475,571,366,662,564,422,360,285
"G0400130","2022","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"0500000US04013","04013","Maricopa County, Arizona",4551524,2268514,129107,140040,155385,96403,60513,27576,31497,104764,170399,171724,157464,150460,137962,142812,129502,57219,72572,44417,61495,87608,72033,40577,26985,2283010,124529,141124,140470,92179,56357,25908,31422,97756,161945,163821,149635,146999,137057,141360,132332,55202,80360,47195,73908,102627,85163,50039,45622,"Maricopa County, Arizona",,685,145,6088,6143,268,4,3512,3640,4297,257,486,5105,5093,534,412,5300,4197,4848,2973,3572,3466,3115,2753,2180,685,396,5486,5476,315,394,3437,2742,3858,533,542,5879,5890,267,417,4103,3490,3982,3406,3757,3888,3629,3346,3436
"G0400150","2022","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"0500000US04015","04015","Mohave County, Arizona",220816,112493,5206,5606,4325,3330,1817,1327,1235,2533,5985,6038,5381,6185,5153,6125,6513,4212,6275,3786,5871,10175,7356,5198,2861,108323,3671,4261,5091,3821,1643,639,893,2853,4695,5650,4275,5566,5251,6239,7826,3593,6508,4246,6070,10043,6813,6170,2506,"Mohave County, Arizona",,1010,647,1022,1083,600,745,585,622,788,401,799,1092,1544,810,277,1130,925,1194,871,1177,1116,1086,1129,996,1010,635,872,918,486,651,403,617,1021,989,317,1141,1126,838,247,1209,837,1119,1096,1102,1129,1040,953,802
"G0400170","2022","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"0500000US04017","04017","Navajo County, Arizona",108650,54153,2952,3356,4662,2377,1570,502,782,1637,2771,4195,3279,2969,2921,3027,3321,1561,1950,1166,2046,3035,1925,1430,719,54497,3481,4340,3723,2391,966,542,440,2545,2620,3672,2461,3107,2583,2981,3718,1176,2683,1489,2205,2953,2569,1056,796,"Navajo County, Arizona",,404,304,840,840,130,478,337,498,676,104,466,654,676,399,392,661,478,562,392,521,488,390,436,334,404,300,772,734,222,351,475,421,588,162,411,694,631,164,260,749,486,606,448,618,572,452,408,275
"G0400190","2022","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"0500000US04019","04019","Pima County, Arizona",1057597,524150,26102,28341,31959,20322,17776,10940,12415,23483,37425,35247,28492,34863,27509,28128,28835,11443,18845,12293,17627,28039,21525,13391,9150,533447,24972,29264,28258,17694,17203,9582,10930,26939,33458,31856,30653,29677,27152,28821,26671,13032,24928,15551,21237,29823,23886,16349,15511,"Pima County, Arizona",,809,590,2243,2243,444,998,2054,2694,2679,361,3,2514,2405,524,754,2384,1628,2056,1455,1586,1517,1656,1693,1299,809,591,2256,2255,410,639,1734,2072,2684,668,4,2364,2372,326,654,2138,1750,2131,1853,2180,1967,1939,1890,1686
"G0400210","2022","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"0500000US04021","04021","Pinal County, Arizona",464154,240400,12765,15145,14334,9154,5999,3191,2848,8950,17165,18075,18710,13535,14432,13989,12659,4222,9007,5067,7162,13480,11815,5285,3411,223754,11734,13040,16025,8701,4833,1845,2900,7011,12488,13962,15915,12253,12516,12423,11550,6059,8856,5679,9200,15252,11348,6509,3655,"Pinal County, Arizona",,1318,642,2063,2109,575,1086,846,1272,1403,1105,1271,2221,2260,938,975,1502,1171,1570,1083,1199,1397,1443,1112,1160,1318,757,1490,1382,457,637,812,981,1242,661,873,2010,2058,544,608,1220,1320,1324,965,1277,1245,1465,1281,997
"G0400250","2022","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"0500000US04025","04025","Yavapai County, Arizona",246191,121122,4303,5682,4833,3627,2840,1363,1561,3153,5904,5685,7124,4917,5576,6512,7916,4192,6092,3867,6922,12396,8988,4501,3168,125069,4490,4410,6309,3446,1745,658,1012,3571,5246,5538,6749,4179,5587,7232,8431,4874,7483,6508,8106,11707,10041,4593,3154,"Yavapai County, Arizona",,806,131,950,991,141,463,557,415,928,315,253,1258,1347,315,167,1132,1108,856,833,1055,1199,973,958,921,806,371,849,894,45,396,482,343,700,268,213,936,992,356,599,1445,998,1361,1043,1176,1172,957,851,827
"G0400270","2022","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"0500000US04027","04027","Yuma County, Arizona",207842,106122,7479,7758,6740,4295,2735,1415,2342,4765,8336,7799,4798,7921,5123,4565,4744,1851,2870,2676,2879,4551,4295,4230,1955,101720,6635,6630,7775,4379,2679,1381,844,4388,6299,6338,5721,5775,4742,5697,4837,2075,3309,2729,3516,4636,4596,4310,2429,"Yuma County, Arizona",,1006,544,1318,1347,346,167,669,934,1040,735,472,1023,998,243,81,739,746,604,911,920,843,897,860,557,1006,508,1291,1343,456,234,560,575,706,100,147,1241,1076,192,520,929,572,895,724,740,869,786,947,786
"G0500070","2022","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"0500000US05007","05007","Benton County, Arkansas",302863,151676,10181,10316,11883,6638,3355,1778,2324,5157,11227,11604,11288,13080,9221,9004,6553,3904,5130,2426,2828,6192,3820,2051,1716,151187,9572,11343,10119,6237,3870,1732,823,5741,10274,11940,11088,11639,8591,8897,8278,3040,4630,2574,4317,6870,4508,2801,2303,"Benton County, Arkansas",,627,247,1696,1697,340,128,765,1059,1188,466,845,1722,1589,426,316,1145,1077,1189,703,766,1080,767,592,407,627,235,1466,1433,437,790,885,402,864,449,525,1318,1216,321,505,981,732,914,759,1061,1059,797,630,733
"G0500310","2022","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"0500000US05031","05031","Craighead County, Arkansas",113017,54169,2878,3603,4691,2486,1694,129,914,2811,4247,4289,3120,3831,3472,3477,3267,1284,1407,537,1083,2418,1013,915,603,58848,3994,4107,4127,2275,1400,1426,1591,2622,3403,4156,3384,4440,3289,3096,3911,1345,1206,996,1455,2657,1366,1874,728,"Craighead County, Arkansas",,1610,720,925,1219,536,576,92,483,729,1138,1242,1085,1058,513,541,700,698,671,312,475,572,301,271,270,1610,1438,1109,1226,594,283,842,792,1002,417,952,946,1279,502,464,778,693,525,432,495,804,538,631,374
"G0500450","2022","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"0500000US05045","05045","Faulkner County, Arkansas",127665,61992,3889,3861,4317,2093,1942,2935,1084,2738,4600,3663,3117,4555,4067,4255,3019,1861,1789,1380,2024,1701,1763,896,443,65673,4100,4476,3624,2018,3124,2052,1214,4171,4033,4091,4239,4342,3778,3358,3141,2162,1498,754,2715,2201,2212,1172,1198,"Faulkner County, Arkansas",,846,618,967,825,163,168,1246,625,1051,613,426,828,1008,613,656,787,724,690,511,636,498,457,442,296,846,941,1017,1105,205,944,1139,646,1107,533,443,932,1061,467,322,703,644,577,388,614,542,625,568,616
"G0500510","2022","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"0500000US05051","05051","Garland County, Arkansas",100089,49170,2675,2154,3818,2280,1283,623,27,2038,2300,3061,2968,2535,2294,3329,2243,2764,1414,1471,2057,3144,2182,1237,1273,50919,2037,3242,1679,1502,992,103,1331,1146,2481,3172,2584,2526,3702,3296,2675,1771,2868,1609,2249,3937,2968,2211,838,"Garland County, Arkansas",,777,456,852,807,571,587,376,4,712,220,635,732,662,165,609,765,769,543,683,632,647,418,397,380,777,441,799,918,833,566,175,654,607,415,555,882,805,628,499,724,604,670,586,530,628,615,610,382
